PMID,Genes,Mutations,Diseases,Chemicals,Species,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
32533304,tap>10482,No Data,No Data,water>MESH:D014867,human>9606;algae>569578,Microorganisms populating the water-related indoor biome,"Novak Babič M, Gostinčar C, Gunde-Cimerman N.",Appl Microbiol Biotechnol. 2020 Aug;104(15):6443-6462. doi: 10.1007/s00253-020-10719-4. Epub 2020 Jun 12.,Novak Babič M,Appl Microbiol Biotechnol,2020,2020/06/14,PMC7347518,,10.1007/s00253-020-10719-4
26733008,No Data,No Data,dryness>MESH:D014987,arsenic>MESH:D001151;salts>MESH:D012492;O2>MESH:D010100;ozone>MESH:D010126,human>9606,High-Up: A Remote Reservoir of Microbial Extremophiles in Central Andean Wetlands,"Albarracín VH, Kurth D, Ordoñez OF, Belfiore C, Luccini E, Salum GM, Piacentini RD, Farías ME.",Front Microbiol. 2015 Dec 16;6:1404. doi: 10.3389/fmicb.2015.01404. eCollection 2015.,Albarracín VH,Front Microbiol,2015,2016/01/07,PMC4679917,,10.3389/fmicb.2015.01404
26647770,No Data,No Data,No Data,Arsenic>MESH:D001151;salt>MESH:D012492,Acinetobacter Ver3>466088,Forged Under the Sun: Life and Art of Extremophiles from Andean Lakes,"Albarracín VH, Gärtner W, Farias ME.",Photochem Photobiol. 2016 Jan-Feb;92(1):14-28. doi: 10.1111/php.12555. Epub 2015 Dec 30.,Albarracín VH,Photochem Photobiol,2016,2015/12/10,,,10.1111/php.12555
37367588,No Data,No Data,Alkaliphilic/Alkali-Tolerant Fungi>MESH:D006934 ; Alkaliphilic and alkali-tolerant fungi>MESH:D006934,PacC>MESH:C406277,human>9606;Aspergillus nidulans>162425;Saccharomyces cerevisiae>4932,"Alkaliphilic/Alkali-Tolerant Fungi: Molecular, Biochemical, and Biotechnological Aspects","Fernández-López MG, Batista-García RA, Aréchiga-Carvajal ET.",J Fungi (Basel). 2023 Jun 9;9(6):652. doi: 10.3390/jof9060652.,Fernández-López MG,J Fungi (Basel),2023,2023/06/27,PMC10301932,,10.3390/jof9060652
30796504,No Data,No Data,Alkaliphilic>No Data ; alkaliphilic microbial>MESH:D015163,No Data,human>9606,Isolation and Cultivation of Alkaliphiles,Kevbrin VV.,Adv Biochem Eng Biotechnol. 2020;172:53-84. doi: 10.1007/10_2018_84.,Kevbrin VV,Adv Biochem Eng Biotechnol,2020,2019/02/24,,,10.1007/10_2018_84
8688447,No Data,No Data,exceptions extremophilic bacteria>MESH:C537702,salt>MESH:D012492;water>MESH:D014867,No Data,Respiratory chains of archaea and extremophiles,"Schäfer G, Purschke WG, Gleissner M, Schmidt CL.",Biochim Biophys Acta. 1996 Jul 18;1275(1-2):16-20. doi: 10.1016/0005-2728(96)00043-6.,Schäfer G,Biochim Biophys Acta,1996,1996/07/18,,,10.1016/0005-2728(96)00043-6
31541933,No Data,No Data,No Data,Metal>MESH:D008670;hydrocarbons>MESH:D006838,No Data,Metal and organic pollutants bioremediation by extremophile microorganisms,"Giovanella P, Vieira GAL, Ramos Otero IV, Pais Pellizzer E, de Jesus Fontes B, Sette LD.",J Hazard Mater. 2020 Jan 15;382:121024. doi: 10.1016/j.jhazmat.2019.121024. Epub 2019 Aug 17.,Giovanella P,J Hazard Mater,2020,2019/09/22,,,10.1016/j.jhazmat.2019.121024
35688350,No Data,No Data,Extremophilic lipases>OMIM:614025 ; cold active thermophilic and psychrophilic lipases>MESH:D000067390 ; alkaliphilic lipases>OMIM:614025 ; extremophilic lipases>OMIM:614025 ; alkaliphilic>No Data,ester>MESH:D004952;lipid>MESH:D008055,human>9606,Extremophilic lipases for industrial applications: A general review,"Vivek K, Sandhia GS, Subramaniyan S.",Biotechnol Adv. 2022 Nov;60:108002. doi: 10.1016/j.biotechadv.2022.108002. Epub 2022 Jun 7.,Vivek K,Biotechnol Adv,2022,2022/06/10,,,10.1016/j.biotechadv.2022.108002
11809961,No Data,No Data,No Data,No Data,algae>569578,Antarctic Sea ice--a habitat for extremophiles,"Thomas DN, Dieckmann GS.",Science. 2002 Jan 25;295(5555):641-4. doi: 10.1126/science.1063391.,Thomas DN,Science,2002,2002/01/26,,,10.1126/science.1063391
37317247,No Data,No Data,toxicity>MESH:D064420,poly>MESH:C017937,No Data,Investigating Bio-Inspired Degradation of Toxic Dyes Using Potential Multi-Enzyme Producing Extremophiles,"Pham VHT, Kim J, Chang S, Bang D.",Microorganisms. 2023 May 12;11(5):1273. doi: 10.3390/microorganisms11051273.,Pham VHT,Microorganisms,2023,2023/06/15,PMC10223213,,10.3390/microorganisms11051273
33643258,No Data,No Data,stress>MESH:D000079225,No Data,No Data,Bioprospecting of Novel Extremozymes From Prokaryotes-The Advent of Culture-Independent Methods,"Sysoev M, Grötzinger SW, Renn D, Eppinger J, Rueping M, Karan R.",Front Microbiol. 2021 Feb 10;12:630013. doi: 10.3389/fmicb.2021.630013. eCollection 2021.,Sysoev M,Front Microbiol,2021,2021/03/01,PMC7902512,,10.3389/fmicb.2021.630013
36307049,No Data,No Data,No Data,triacylglycerol>MESH:D014280;ester>MESH:D004952,No Data,Archaeal lipolytic enzymes: Current developments and further prospects,"Meghwanshi GK, Verma S, Srivastava V, Kumar R.",Biotechnol Adv. 2022 Dec;61:108054. doi: 10.1016/j.biotechadv.2022.108054. Epub 2022 Oct 26.,Meghwanshi GK,Biotechnol Adv,2022,2022/10/28,,,10.1016/j.biotechadv.2022.108054
9783173,No Data,No Data,thermophilic alkaliphiles>No Data ; alkalithermophilic bacteria>MESH:C537702,No Data,Thermobrachium celere>53422,"Anaerobic alkalithermophiles, a novel group of extremophiles",Wiegel J.,Extremophiles. 1998 Aug;2(3):257-67. doi: 10.1007/s007920050068.,Wiegel J,Extremophiles,1998,1998/10/23,,,10.1007/s007920050068
9783164,No Data,No Data,Alkaliphilic>No Data ; alkaliphilic Bacillus>MESH:D000881,No Data,No Data,"Alkaline detergent enzymes from alkaliphiles: enzymatic properties, genetics, and structures","Ito S, Kobayashi T, Ara K, Ozaki K, Kawai S, Hatada Y.",Extremophiles. 1998 Aug;2(3):185-90. doi: 10.1007/s007920050059.,Ito S,Extremophiles,1998,1998/10/23,,,10.1007/s007920050059
31734456,No Data,No Data,cancer>MESH:D009369,water>MESH:D014867;salt>MESH:D012492,No Data,Molecular dynamics in cells: A neutron view,Zaccai G.,Biochim Biophys Acta Gen Subj. 2020 Mar;1864(3):129475. doi: 10.1016/j.bbagen.2019.129475. Epub 2019 Nov 15.,Zaccai G,Biochim Biophys Acta Gen Subj,2020,2019/11/18,,,10.1016/j.bbagen.2019.129475
31273417,No Data,No Data,fascinating alkaliphiles' pH homeostasis>MESH:D010677,ATP>MESH:D000255,No Data,Challenges and Adaptations of Life in Alkaline Habitats,Mamo G.,Adv Biochem Eng Biotechnol. 2020;172:85-133. doi: 10.1007/10_2019_97.,Mamo G,Adv Biochem Eng Biotechnol,2020,2019/07/06,,,10.1007/10_2019_97
37046169,No Data,No Data,No Data,chromium>MESH:D002857;Cr>MESH:D002857;Cr(VI)>MESH:C074702;Chromium>MESH:D002857;Cr(III)>MESH:C495433,No Data,A comprehensive review on chromium (Cr) contamination and Cr(VI)-resistant extremophiles in diverse extreme environments,"Rahman Z, Thomas L, Chetri SPK, Bodhankar S, Kumar V, Naidu R.",Environ Sci Pollut Res Int. 2023 May;30(21):59163-59193. doi: 10.1007/s11356-023-26624-y. Epub 2023 Apr 13.,Rahman Z,Environ Sci Pollut Res Int,2023,2023/04/12,,,10.1007/s11356-023-26624-y
29392527,No Data,No Data,No Data,water>MESH:D014867,No Data,"Lithobiontic life: ""Atacama rocks are well and alive""",Gómez-Silva B.,Antonie Van Leeuwenhoek. 2018 Aug;111(8):1333-1343. doi: 10.1007/s10482-018-1033-9. Epub 2018 Feb 1.,Gómez-Silva B,Antonie Van Leeuwenhoek,2018,2018/02/03,,,10.1007/s10482-018-1033-9
33538376,No Data,No Data,halo(alkali)philic archaea>MESH:D006934 ; halo(natrono)archaea>MESH:D055882 ; neutrophilic haloarchaea>MESH:C564275 ; hypersaline anoxic habitats>MESH:D002534,Carbohydrate>MESH:D002241;sulfur>MESH:D013455;alpha-d-glucans>-;amylose>MESH:D000688;glycogen>MESH:D006003;sugars>MESH:D000073893;glycerol>MESH:D005990;carbon>MESH:D002244;hypersaline>-;glucose>MESH:D005947;dimethyl sulfoxide>MESH:D004121;H2>MESH:D003903;thiosulfate>MESH:D013885,No Data,Carbohydrate-dependent sulfur respiration in halo(alkali)philic archaea,"Sorokin DY, Messina E, Smedile F, La Cono V, Hallsworth JE, Yakimov MM.",Environ Microbiol. 2021 Jul;23(7):3789-3808. doi: 10.1111/1462-2920.15421. Epub 2021 Feb 22.,Sorokin DY,Environ Microbiol,2021,2021/02/04,,,10.1111/1462-2920.15421
37839067,No Data,No Data,Extremophilic microbial metabolism>MESH:D015163,No Data,No Data,Extremophilic microbial metabolism and radioactive waste disposal,"Butterworth SJ, Barton F, Lloyd JR.",Extremophiles. 2023 Oct 15;27(3):27. doi: 10.1007/s00792-023-01312-4.,Butterworth SJ,Extremophiles,2023,2023/10/15,PMC10577106,,10.1007/s00792-023-01312-4
9680303,No Data,No Data,alkaliphilic Bacillus>MESH:D000881,No Data,Bacillus sp. KSM-635>1415,"Alkaline cellulases from alkaliphilic Bacillus: enzymatic properties, genetics, and application to detergents",Ito S.,Extremophiles. 1997 May;1(2):61-6. doi: 10.1007/s007920050015.,Ito S,Extremophiles,1997,1997/05/01,,,10.1007/s007920050015
34402982,No Data,No Data,stress>MESH:D000079225,saline>MESH:D012965;TCA>MESH:D014238;starch>MESH:D013213;trehalose>MESH:D014199;acetate>MESH:D000085;pyruvate>MESH:D019289;formate>MESH:C030544;glutamate>MESH:D018698;threonine>MESH:D013912;ectoine>MESH:C045628,Egicoccus halophilus>1670830;EGI 80432>1670830;E. halophilus>251717,Transcriptomic responses of haloalkalitolerant bacterium Egicoccus halophilus EGI 80432(T) to highly alkaline stress,"Chen DD, Ahmad M, Liu YH, Wang S, Liu BB, Guo SX, Jiang HC, Shu WS, Li WJ.",Extremophiles. 2021 Nov;25(5-6):459-470. doi: 10.1007/s00792-021-01239-8. Epub 2021 Aug 17.,Chen DD,Extremophiles,2021,2021/08/17,,,10.1007/s00792-021-01239-8
23686381,No Data,No Data,stress>MESH:D000079225,alkaline saline>-;NaCl>MESH:D012965;HSL10>-;agar>MESH:D000362,yeast>4932,An extremophile Microbacterium strain and its protease production under alkaline conditions,"Lü J, Wu X, Jiang Y, Cai X, Huang L, Yang Y, Wang H, Zeng A, Li A.",J Basic Microbiol. 2014 May;54(5):378-85. doi: 10.1002/jobm.201200553. Epub 2013 May 17.,Lü J,J Basic Microbiol,2014,2013/05/21,,,10.1002/jobm.201200553
11234023,No Data,No Data,No Data,water>MESH:D014867,No Data,Life in extreme environments,"Rothschild LJ, Mancinelli RL.",Nature. 2001 Feb 22;409(6823):1092-101. doi: 10.1038/35059215.,Rothschild LJ,Nature,2001,2001/03/10,,,10.1038/35059215
36031955,No Data,No Data,alkaliphilic biofilms>No Data,No Data,Dietzia sp>1871616,The evolution of alkaliphilic biofilm communities in response to extreme alkaline pH values,"Charles CJ, Rout SP, Jackson BR, Boxall SA, Akbar S, Humphreys PN.",Microbiologyopen. 2022 Aug;11(4):e1309. doi: 10.1002/mbo3.1309.,Charles CJ,Microbiologyopen,2022,2022/08/29,PMC9380404,,10.1002/mbo3.1309
26025020,pH>5053,No Data,numerous haloalkaliphilic>No Data ; haloalkaliphilic organisms>MESH:D019965,saline>MESH:D012965;lipid>MESH:D008055;sulfur>MESH:D013455;NaCl>MESH:D012965;NaHCO3>MESH:D017693;Na2CO3>-,No Data,Adaptive strategies in the double-extremophilic prokaryotes inhabiting soda lakes,"Banciu HL, Muntyan MS.",Curr Opin Microbiol. 2015 Jun;25:73-9. doi: 10.1016/j.mib.2015.05.003. Epub 2015 May 27.,Banciu HL,Curr Opin Microbiol,2015,2015/05/31,,,10.1016/j.mib.2015.05.003
33123748,No Data,No Data,decrease of alkaliphilic tolerance>MESH:D018149 ; alkaliphilic bacteria>MESH:C537702,iron>MESH:D007501;irons>MESH:D007501,Halomonas alkalicola>1930622;CICC 11012s>1930622;E. coli>562,Mechanism of TonB-dependent transport system in Halomonas alkalicola CICC 11012s in response to alkaline stress,"Zhai L, Xie J, Feng H, Sun S, Cheng K, Yao S.",Extremophiles. 2021 Jan;25(1):39-49. doi: 10.1007/s00792-020-01209-6. Epub 2020 Oct 30.,Zhai L,Extremophiles,2021,2020/10/30,,,10.1007/s00792-020-01209-6
29538737,No Data,No Data,polyextremotolerant fungi>No Data ; chromoblastomycosis>MESH:D002862 ; subcutaneous infection>MESH:D007239 ; cerebral phaeohyphomycosis>MESH:D060425 ; Chromoblastomycosis>MESH:D002862,No Data,Black yeasts>34395;BY>34395;by>34395;human>9606;yeast>4932;black yeasts>34395;Black Yeasts>34395,Black yeasts in the omics era: Achievements and challenges,"Moreno LF, Vicente VA, de Hoog S.",Med Mycol. 2018 Apr 1;56(suppl_1):32-41. doi: 10.1093/mmy/myx129.,Moreno LF,Med Mycol,2018,2018/03/15,,,10.1093/mmy/myx129
27362528,No Data,No Data,alarming rise>MESH:D051270,metals>MESH:D008670;metal>MESH:D008670;Cu>MESH:D003300,Alkalibacterium sp. TRTYP6>1581170,Alkaline bioleaching of municipal solid waste incineration fly ash by autochthonous extremophiles,"Ramanathan T, Ting YP.",Chemosphere. 2016 Oct;160:54-61. doi: 10.1016/j.chemosphere.2016.06.055. Epub 2016 Jun 27.,Ramanathan T,Chemosphere,2016,2016/07/01,,,10.1016/j.chemosphere.2016.06.055
31388592,No Data,No Data,No Data,ammonium sulphate>MESH:D000645;Ba2+>MESH:C080430;Fe2+>-;Mg2+>-;Ca2+>MESH:D000069285;Mn2+>-;Cu2+>-;EDTA>MESH:D004492;PMSF>-,Geobacillus sp>1891658,Low molecular weight alkaline thermostable α-amylase from Geobacillus sp. nov,"Febriani, Rayyana, Ulya M, Oesman F, Akhmaloka, Iqbalsyah TM.",Heliyon. 2019 Jul 29;5(7):e02171. doi: 10.1016/j.heliyon.2019.e02171. eCollection 2019 Jul.,Febriani,Heliyon,2019,2019/08/08,PMC6667821,,10.1016/j.heliyon.2019.e02171
21340748,No Data,No Data,halophilic archaea>No Data ; alkaliphilic>No Data,NaCl>MESH:D012965,Haloarcula quadrata>182779;Haloferax elongans>403191;Haloferax mediterranei>2252;Natronolimnobius 'aegyptiacus>745377,Temperature and pH optima of extremely halophilic archaea: a mini-review,"Bowers KJ, Wiegel J.",Extremophiles. 2011 Mar;15(2):119-28. doi: 10.1007/s00792-010-0347-y. Epub 2011 Feb 22.,Bowers KJ,Extremophiles,2011,2011/02/23,,,10.1007/s00792-010-0347-y
25443670,No Data,No Data,No Data,CO2>MESH:D002245;metal>MESH:D008670,algae>569578,Extremophilic micro-algae and their potential contribution in biotechnology,"Varshney P, Mikulic P, Vonshak A, Beardall J, Wangikar PP.",Bioresour Technol. 2015 May;184:363-372. doi: 10.1016/j.biortech.2014.11.040. Epub 2014 Nov 15.,Varshney P,Bioresour Technol,2015,2014/12/03,,,10.1016/j.biortech.2014.11.040
28737704,No Data,No Data,Toxicity>MESH:D064420 ; paralytic>MESH:D007418 ; Oscillatoria>No Data,beta-methylaminopropionic acid>-;N-(2-aminoethyl) glycine>MESH:C028791;2-4-diaminobutyric acid>MESH:C005959;-cylindrospermopsins>MESH:C089595;microcystins>MESH:D052998;nodularins>MESH:C063998,human>9606,Toxicity at the Edge of Life: A Review on Cyanobacterial Toxins from Extreme Environments,"Cirés S, Casero MC, Quesada A.",Mar Drugs. 2017 Jul 24;15(7):233. doi: 10.3390/md15070233.,Cirés S,Mar Drugs,2017,2017/07/25,PMC5532675,,10.3390/md15070233
16514512,No Data,No Data,No Data,hydrocarbon>MESH:D006838;hydrocarbons>MESH:D006838;water>MESH:D014867,No Data,Bioremediation of hydrocarbon-contaminated polar soils,"Aislabie J, Saul DJ, Foght JM.",Extremophiles. 2006 Jun;10(3):171-9. doi: 10.1007/s00792-005-0498-4. Epub 2006 Mar 3.,Aislabie J,Extremophiles,2006,2006/03/04,,,10.1007/s00792-005-0498-4
31087781,No Data,No Data,No Data,Polymer>MESH:D011108;biomedicine>-;poly(vinyl alcohol)>MESH:D011142;ice>MESH:D007053,No Data,"Mimicking the Ice Recrystallization Activity of Biological Antifreezes. When is a New Polymer ""Active""?","Biggs CI, Stubbs C, Graham B, Fayter AER, Hasan M, Gibson MI.",Macromol Biosci. 2019 Jul;19(7):e1900082. doi: 10.1002/mabi.201900082. Epub 2019 May 14.,Biggs CI,Macromol Biosci,2019,2019/05/16,PMC6828557,EMS84735,10.1002/mabi.201900082
34458243,No Data,No Data,Extremophilic Oxidoreductases>MESH:D054882 ; low toxicity>MESH:D009800 ; extremophilic oxidoreductases>MESH:D054882,No Data,No Data,Extremophilic Oxidoreductases for the Industry: Five Successful Examples With Promising Projections,"Espina G, Atalah J, Blamey JM.",Front Bioeng Biotechnol. 2021 Aug 12;9:710035. doi: 10.3389/fbioe.2021.710035. eCollection 2021.,Espina G,Front Bioeng Biotechnol,2021,2021/08/30,PMC8387880,,10.3389/fbioe.2021.710035
31734848,No Data,No Data,No Data,salt>MESH:D012492;urea>MESH:D014508;trimethylamine N-oxide>MESH:C005855;TMAO>MESH:C005855;polyacrylamide>MESH:C016679;NaCl>MESH:D012965,Brevibacillus choshinensis>54911;E. coli>562,"Expression, Folding, and Activation of Halophilic Alkaline Phosphatase in Non-Halophilic Brevibacillus choshinensis","Laksmi FA, Imamura H, Tsurumaru H, Nakamura Y, Hanagata H, Arai S, Tokunaga M, Ishibashi M.",Protein J. 2020 Feb;39(1):46-53. doi: 10.1007/s10930-019-09874-z.,Laksmi FA,Protein J,2020,2019/11/18,,,10.1007/s10930-019-09874-z
27771767,No Data,No Data,MotPS of alkaliphilic Bacillus>MESH:D000881 ; MotPS-type flagellar motor of alkaliphilic Bacillus alcalophilus AV1934>MESH:D000881 ; flagellar rotation>MESH:D009069,Rb+>MESH:D012413;Ca2+>MESH:D000069285;Mg2+>-;Sr2+>-,Bacillus>66692;Paenibacillus>1499968;Bacillus clausii KSM-K16>66692;Paenibacillus sp. TCA20>1499968,Nonconventional cation-coupled flagellar motors derived from the alkaliphilic Bacillus and Paenibacillus species,"Ito M, Takahashi Y.",Extremophiles. 2017 Jan;21(1):3-14. doi: 10.1007/s00792-016-0886-y. Epub 2016 Oct 22.,Ito M,Extremophiles,2017,2016/10/25,,,10.1007/s00792-016-0886-y
37847305,No Data,No Data,haloalkaliphilic phototrophic bacteria Ectothiorodospirea>MESH:C537702 ; haloalkaliphilic phototrophic bacteria Ectothiorhodospirea>MESH:C537702,Al-2>MESH:D000535;20-60  C>MESH:C069837;Mn+2>MESH:D008345;Cu+2>MESH:D003300;Co+2>MESH:C065987;Mg+2>MESH:D008274;NaCl>MESH:D012965;Zn+2>MESH:D015032;Fe+2>MESH:D007501;fructose>MESH:D005632;glucose>MESH:D005947,Hg2>2699479,Properties of the extracellular alkaline inulinase produced by haloalkaliphilic phototrophic bacteria Ectothiorodospirea mobilis,"Markosyan L, Vardanyan A.",Extremophiles. 2023 Oct 17;27(3):29. doi: 10.1007/s00792-023-01315-1.,Markosyan L,Extremophiles,2023,2023/10/17,,,10.1007/s00792-023-01315-1
23065059,No Data,No Data,No Data,CO(2)>MESH:D002245;acetate>MESH:D000085;Carbon>MESH:D002244;carbon>MESH:D002244,No Data,Distribution of CO(2) fixation and acetate mineralization pathways in microorganisms from extremophilic anaerobic biotopes,"Montoya L, Celis LB, Razo-Flores E, Alpuche-Solís AG.",Extremophiles. 2012 Nov;16(6):805-17. doi: 10.1007/s00792-012-0487-3. Epub 2012 Oct 12.,Montoya L,Extremophiles,2012,2012/10/16,,,10.1007/s00792-012-0487-3
9783165,No Data,No Data,alkaliphilic>No Data,Mg2+>-;Ca2+>MESH:D000069285;water>MESH:D014867;CO3(2-)>-;NaCl>MESH:D012965;carbon>MESH:D002244;sulfur>MESH:D013455,No Data,Microbial diversity of soda lakes,"Jones BE, Grant WD, Duckworth AW, Owenson GG.",Extremophiles. 1998 Aug;2(3):191-200. doi: 10.1007/s007920050060.,Jones BE,Extremophiles,1998,1998/10/23,,,10.1007/s007920050060
37982082,No Data,No Data,halo-alkaliphilic microbes>MESH:D055882 ; extremophilic conditions>MESH:D000071069,No Data,No Data,Halo-alkaliphilic microbes as an effective tool for heavy metal pollution abatement and resource recovery: challenges and future prospects,"Varshney S, Bhattacharya A, Gupta A.",3 Biotech. 2023 Dec;13(12):400. doi: 10.1007/s13205-023-03807-5. Epub 2023 Nov 15.,Varshney S,3 Biotech,2023,2023/11/20,PMC10651602,,10.1007/s13205-023-03807-5
18706678,,,,,,Wetland treatment at extremes of pH: a review,"Mayes WM, Batty LC, Younger PL, Jarvis AP, Kõiv M, Vohla C, Mander U.",Sci Total Environ. 2009 Jun 15;407(13):3944-57. doi: 10.1016/j.scitotenv.2008.06.045. Epub 2008 Aug 15.,Mayes WM,Sci Total Environ,2009,2008/08/19,,,10.1016/j.scitotenv.2008.06.045
18378586,No Data,No Data,No Data,NaCl>MESH:D012965;hypersaline>-,Natranaerobius thermophilus>375929;Halonatronum saccharophilum>150060,Life at extreme limits: the anaerobic halophilic alkalithermophiles,"Mesbah NM, Wiegel J.",Ann N Y Acad Sci. 2008 Mar;1125:44-57. doi: 10.1196/annals.1419.028.,Mesbah NM,Ann N Y Acad Sci,2008,2008/04/02,,,10.1196/annals.1419.028
9783163,No Data,No Data,No Data,glucose>MESH:D005947,No Data,Thermozymes: biotechnology and structure-function relationships,"Zeikus JG, Vieille C, Savchenko A.",Extremophiles. 1998 Aug;2(3):179-83. doi: 10.1007/s007920050058.,Zeikus JG,Extremophiles,1998,1998/10/23,,,10.1007/s007920050058
32617734,No Data,No Data,No Data,serine>MESH:D012694;Metal>MESH:D008670;Ca2+>MESH:D000069285;Mn2+>-;ethanol>MESH:D000431;methanol>MESH:D000432;acetone>MESH:D000096;2-propanol>MESH:D019840;dimethyl sulfoxide>MESH:D004121;Tween-80>MESH:D011136;Triton X-100>MESH:D017830;Dithiothreitol>MESH:D004229;DTT>MESH:D004229,Bacillus zhangzhouensis>1178540;Bacillus sp>1409,"Biochemical characterization of an alkaline surfactant-stable keratinase from a new keratinase producer, Bacillus zhangzhouensis","Moridshahi R, Bahreini M, Sharifmoghaddam M, Asoodeh A.",Extremophiles. 2020 Sep;24(5):693-704. doi: 10.1007/s00792-020-01187-9. Epub 2020 Jul 2.,Moridshahi R,Extremophiles,2020,2020/07/04,,,10.1007/s00792-020-01187-9
