PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,ABSTRACT
36581887,Tailor-made alkaliphilic and thermostable fungal laccases for industrial wood processing,"Rodríguez-Escribano D, Pliego-Magán R, de Salas F, Aza P, Gentili P, Ihalainen P, Levée T, Meyer V, Petit-Conil M, Tapin-Lingua S, Lecourt M, Camarero S.",Biotechnol Biofuels Bioprod. 2022 Dec 29;15(1):149. doi: 10.1186/s13068-022-02247-2.,Rodríguez-Escribano D,Biotechnol Biofuels Bioprod,2022,2022/12/29,PMC9798632,,10.1186/s13068-022-02247-2,"1. Biotechnol Biofuels Bioprod. 2022 Dec 29;15(1):149. doi: 
10.1186/s13068-022-02247-2.

Tailor-made alkaliphilic and thermostable fungal laccases for industrial wood 
processing.

Rodríguez-Escribano D(1), Pliego-Magán R(1), de Salas F(1), Aza P(1), Gentili 
P(2), Ihalainen P(3), Levée T(3), Meyer V(4), Petit-Conil M(4), Tapin-Lingua 
S(5), Lecourt M(5), Camarero S(6).

Author information:
(1)Centro de Investigaciones Biológicas Margarita Salas, CSIC. Ramiro de Maeztu 
9, 28040, Madrid, Spain.
(2)Sapienza Università Di Roma, Piazzale Aldo Moro, 5, 00185, Rome, RM, Italy.
(3)MetGen Oy, Rakentajantie 26, 20780, Kaarina, Finland.
(4)Centre Technique du Papier (CTP), Domaine Universitaire, 38044, Grenoble 
Cedex 9, France.
(5)FCBA Institut Technologique, 341 Rue de La Papeterie, 38610, Gières, France.
(6)Centro de Investigaciones Biológicas Margarita Salas, CSIC. Ramiro de Maeztu 
9, 28040, Madrid, Spain. susanacam@cib.csic.es.

BACKGROUND: During the kraft process to obtain cellulosic pulp from wood, most 
of the lignin is removed by high-temperature alkaline cooking, released in the 
black liquors and usually incinerated for energy. However, kraft lignins are a 
valuable source of phenolic compounds that can be valorized in new bio-based 
products. The aim of this work is to develop laccases capable of working under 
the extreme conditions of high temperature and pH, typical of the industrial 
conversion of wood into kraft pulp and fibreboard, in order to provide 
extremophilic biocatalysts for depolymerising kraft lignin, and enzyme-assisted 
technologies for kraft pulp and fibreboard production.
RESULTS: Through systematic enzyme engineering, combining enzyme-directed 
evolution and rational design, we changed the optimal pH of the laccase for 
oxidation of lignin phenols from acidic to basic, enhanced the catalytic 
activity at alkaline pH and increased the thermal tolerance of the enzyme by 
accumulating up to eight mutations in the protein sequence. The extremophilic 
laccase variants show maximum activity at 70 °C and oxidize kraft lignin at pH 
10. Their integration into industrial-type processes saves energy and chemicals. 
As a pre-bleaching stage, the enzymes promote kraft pulp bleachability and 
significantly reduce the need for chlorine dioxide compared to the industrial 
sequence. Their application in wood chips during fibreboard production, 
facilitates the defibering stage, with less energy required.
CONCLUSIONS: A set of new alkaliphilic and thermophilic fungal laccases has been 
developed to operate under the extreme conditions of high temperature and pH 
typical of industrial wood conversion processes. For the first time 
basidiomycete laccases of high-redox potential show activity on lignin-derived 
phenols and polymeric lignin at pH 10. Considering the extreme conditions of 
current industrial processes for kraft pulp and fibreboard production, the new 
tailor-made laccases constitute a step forward towards turning kraft pulp mills 
into biorefineries. Their use as biocatalysts in the wood conversion sector is 
expected to support the development of more environmentally sound and efficient 
processes, and more sustainable products.

© 2022. The Author(s).

DOI: 10.1186/s13068-022-02247-2
PMCID: PMC9798632
PMID: 36581887

Conflict of interest statement: The authors declare they have no competing 
interest in this work."
21605309,Isolation of obligately alkaliphilic magnetotactic bacteria from extremely alkaline environments,"Lefèvre CT, Frankel RB, Pósfai M, Prozorov T, Bazylinski DA.",Environ Microbiol. 2011 Aug;13(8):2342-50. doi: 10.1111/j.1462-2920.2011.02505.x. Epub 2011 May 23.,Lefèvre CT,Environ Microbiol,2011,2011/05/25,,,10.1111/j.1462-2920.2011.02505.x,"1. Environ Microbiol. 2011 Aug;13(8):2342-50. doi: 
10.1111/j.1462-2920.2011.02505.x. Epub 2011 May 23.

Isolation of obligately alkaliphilic magnetotactic bacteria from extremely 
alkaline environments.

Lefèvre CT(1), Frankel RB, Pósfai M, Prozorov T, Bazylinski DA.

Author information:
(1)School of Life Sciences, University of Nevada at Las Vegas, Las Vegas, NV 
89154-4004, USA.

Large numbers of magnetotactic bacteria were discovered in mud and water samples 
collected from a number of highly alkaline aquatic environments with pH values 
of ≈ 9.5. These bacteria were helical in morphology and biomineralized chains of 
bullet-shaped crystals of magnetite and were present in all the highly alkaline 
sites sampled. Three strains from different sites were isolated and cultured and 
grew optimally at pH 9.0-9.5 but not at 8.0 and below, demonstrating that these 
organisms truly require highly alkaline conditions and are not simply 
surviving/growing in neutral pH micro-niches in their natural habitats. All 
strains grew anaerobically through the reduction of sulfate as a terminal 
electron acceptor and phylogenetic analysis, based on 16S rRNA gene sequences, 
as well as some physiological features, showed that they could represent strains 
of Desulfonatronum thiodismutans, a known alkaliphilic bacterium that does not 
biomineralize magnetosomes. Our results show that some magnetotactic bacteria 
can be considered extremophilic and greatly extend the known ecology of 
magnetotactic bacteria and the conditions under which they can biomineralize 
magnetite. Moreover, our results show that this type of magnetotactic bacterium 
is common in highly alkaline environments. Our findings also greatly influence 
the interpretation of the presence of nanometer-sized magnetite crystals, 
so-called magnetofossils, in highly alkaline environments.

© 2011 Society for Applied Microbiology and Blackwell Publishing Ltd.

DOI: 10.1111/j.1462-2920.2011.02505.x
PMID: 21605309 [Indexed for MEDLINE]"
34545451,"Growth and photosynthesis acclimated response of the cyanobacterium Fischerella sp. FS 18 exposed to extreme conditions: alkaline pH, limited irradiance, and carbon dioxide concentration","Shokravi S, Bahavar N.",Extremophiles. 2021 Nov;25(5-6):493-500. doi: 10.1007/s00792-021-01244-x. Epub 2021 Sep 20.,Shokravi S,Extremophiles,2021,2021/09/21,,,10.1007/s00792-021-01244-x,"1. Extremophiles. 2021 Nov;25(5-6):493-500. doi: 10.1007/s00792-021-01244-x. Epub
 2021 Sep 20.

Growth and photosynthesis acclimated response of the cyanobacterium Fischerella 
sp. FS 18 exposed to extreme conditions: alkaline pH, limited irradiance, and 
carbon dioxide concentration.

Shokravi S(#)(1), Bahavar N(#)(2).

Author information:
(1)Department of Biology, Gorgan Branch, Islamic Azad University, Gorgan, Iran. 
Shadmanshokravi@yahoo.com.
(2)Plant Physiology Laboratory, Bioscience Faculty, Universidad Autónoma de 
Barcelona (UAB), 08193, Belletarra, Spain. nbahavar@gmail.com.
(#)Contributed equally

The true-branching heterocystous cyanobacterium Fischerella sp. FS 18 is widely 
distributed in paddy fields (North) and petroleum polluted soils (South) in 
Iran. This investigation tested the hypothesis that the cyanobacterium can 
acclimatize under the combined effect of extreme environmental conditions. Here, 
we analysed the physiological response of the cyanobacterium under extremely 
limited irradiance (2 μmol photon m-2 s-1); limited carbon dioxide concentration 
(no aeration) at alkaline pHs (9 and 11) for up to 96 h. When the cyanobacterium 
was exposed to these extreme conditions at pH 11, we observed a decline in 
growth, oxygen liberation, photosystems ratio, chlorophyll a, and phycobilisomes 
activity compared to pH 9 after 24 h. Besides, we registered a significant 
decrease in maximum photochemical efficiency and activity of photosystem II at 
pH 11. The comparative single-cell study revealed that pH 9 caused higher 
efficiency of photosystem II and I, while increasing alkalinity pH 11 led to 
disturbed phycobilisomes activity after 24 h. This strain was able to recover 
its structures after 96 h. In addition, spectroscopy analyses revealed the 
presence of the Mycosporine-like amino acid at pH 9.

© 2021. The Author(s), under exclusive licence to Springer Japan KK, part of 
Springer Nature.

DOI: 10.1007/s00792-021-01244-x
PMID: 34545451 [Indexed for MEDLINE]"
33925342,"Genome-Wide Analysis of the Late Embryogenesis Abundant (LEA) and Abscisic Acid-, Stress-, and Ripening-Induced (ASR) Gene Superfamily from Canavalia rosea and Their Roles in Salinity/Alkaline and Drought Tolerance","Lin R, Zou T, Mei Q, Wang Z, Zhang M, Jian S.",Int J Mol Sci. 2021 Apr 27;22(9):4554. doi: 10.3390/ijms22094554.,Lin R,Int J Mol Sci,2021,2021/04/30,PMC8123667,,10.3390/ijms22094554,"1. Int J Mol Sci. 2021 Apr 27;22(9):4554. doi: 10.3390/ijms22094554.

Genome-Wide Analysis of the Late Embryogenesis Abundant (LEA) and Abscisic 
Acid-, Stress-, and Ripening-Induced (ASR) Gene Superfamily from Canavalia rosea 
and Their Roles in Salinity/Alkaline and Drought Tolerance.

Lin R(1)(2)(3), Zou T(1)(2)(3)(4), Mei Q(1)(5)(6), Wang Z(1)(5)(6), Zhang 
M(1)(4), Jian S(1)(5)(6).

Author information:
(1)Key Laboratory of South China Agricultural Plant Molecular Analysis and 
Genetic Improvement & Guangdong Provincial Key Laboratory of Applied Botany, 
South China Botanical Garden, Chinese Academy of Sciences, Guangzhou 510650, 
China.
(2)University of the Chinese Academy of Sciences, Beijing 100039, China.
(3)Center of Economic Botany, Core Botanical Gardens, Chinese Academy of 
Sciences, Guangzhou 510650, China.
(4)CAS Engineering Laboratory for Vegetation Ecosystem Restoration on Islands 
and Coastal Zones, South China Botanical Garden, Chinese Academy of Sciences, 
Guangzhou 510650, China.
(5)Key Laboratory of Vegetation Restoration and Management of Degraded 
Ecosystems, Center for Plant Ecology, Core Botanical Gardens, Chinese Academy of 
Sciences, Guangzhou 510650, China.
(6)Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou), 
Guangzhou 511458, China.

Canavalia rosea (bay bean), distributing in coastal areas or islands in tropical 
and subtropical regions, is an extremophile halophyte with good adaptability to 
seawater and drought. Late embryogenesis abundant (LEA) proteins typically 
accumulate in response to various abiotic stresses, including dehydration, 
salinity, high temperature, and cold, or during the late stage of seed 
development. Abscisic acid-, stress-, and ripening-induced (ASR) genes are 
stress and developmentally regulated plant-specific genes. In this study, we 
reported the first comprehensive survey of the LEA and ASR gene superfamily in 
C. rosea. A total of 84 CrLEAs and three CrASRs were identified in C. rosea and 
classified into nine groups. All CrLEAs and CrASRs harbored the conserved motif 
for their family proteins. Our results revealed that the CrLEA genes were widely 
distributed in different chromosomes, and all of the CrLEA/CrASR genes showed 
wide expression features in different tissues in C. rosea plants. Additionally, 
we introduced 10 genes from different groups into yeast to assess the functions 
of the CrLEAs/CrASRs. These results contribute to our understanding of LEA/ASR 
genes from halophytes and provide robust candidate genes for functional 
investigations in plant species adapted to extreme environments.

DOI: 10.3390/ijms22094554
PMCID: PMC8123667
PMID: 33925342 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that the research was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest."
33208066,Biosynthesis and Characterization of a Novel Fibrinolytic Alkaline Serine Protease from Newly Isolated Bacillus flexus BF12 for Biomedical Applications,"Raj TS, Athimoolam S, Vijayaraghavan P.",Curr Pharm Biotechnol. 2021;22(5):706-717. doi: 10.2174/1389201021666201117094714.,Raj TS,Curr Pharm Biotechnol,2021,2020/11/19,,,10.2174/1389201021666201117094714,"1. Curr Pharm Biotechnol. 2021;22(5):706-717. doi: 
10.2174/1389201021666201117094714.

Biosynthesis and Characterization of a Novel Fibrinolytic Alkaline Serine 
Protease from Newly Isolated Bacillus flexus BF12 for Biomedical Applications.

Raj TS(1), Athimoolam S(1), Vijayaraghavan P(2).

Author information:
(1)Department of Physics, University College of Engineering, Anna University 
Constituent College, Nagercoil, Konnam 629 004, Tamilnadu, India.
(2)Bioprocess Engineering Division, Smykon Biotech Pvt. LtD, Kanyakumari 
District, Tamilnadu 629 001, India.

BACKGROUND: Cardiovascular Diseases (CVDs) such as stroke, high blood pressure, 
peripheral vascular disease, ischemic heart disease and acute myocardial 
infarction are some of the leading causes of death. To treat CVDs, commercially 
available thrombolytic agents are widely used. However, these thrombolytic 
agents have various side effects. Alternatively, fibrinolytic enzymes from 
bacterial sources are highly safe and have direct blood clot lytic activity.
METHODS: A fibrinolytic enzyme producing bacterial strain, Bacillus flexus BF12, 
was isolated from a solar saltpan in Kanyakumari District, Tamilnadu, India. 
Enzyme production was improved by optimizing physical factors and nutritional 
factors.
RESULTS: A novel fibrinolytic enzyme was isolated from a strain of the studied 
B. flexus BF12. Enzyme production was enhanced significantly by optimizing 
process parameters. The critical physical factors (pH and salinity) and 
influencing nutritional factors (carbon, nitrogen and ions) were optimized by 
one variable at a time approach, followed by the statistical method. The strain 
BF12 was highly active at alkaline pH (>7.0) and between 4 and 6% NaCl 
concentration. The nutrients such as fructose (carbon source), beef extract 
(nitrogen source) and CaCl2 significantly influenced enzyme production. Central 
composite design and response surface methodology improved 3.2-fold enzyme yield 
than unoptimized culture medium. Fibrinolytic protease was purified by ammonium 
sulphate precipitation, dialysis and gel filtration chromatography.
DISCUSSION: The molecular weight of an enzyme was found to be 23 kDa. It was 
active at a broad temperature (40-60 °C) and pH (7.0-9.0) ranges. Enzyme 
activity was enhanced by Ca2+ and Co2+ ions. The purified protease retained 100% 
enzyme activity in the presence of ethanol and acetone. Acetonitrile, butanol, 
DMSO, methanol and chloroform showed enzyme activity of 63%, 92.5%, 94.7%, 92.3% 
and 90.4%, respectively. The purified enzyme degraded 100% of human blood clot.
CONCLUSION: The Bacillus flexus BF12 fibrinolytic enzyme shows promising 
potentials in nutraceutical and food fortification applications. The application 
of fibrinolytic enzymes could prevent CVDs.

Copyright© Bentham Science Publishers; For any queries, please email at 
epub@benthamscience.net.

DOI: 10.2174/1389201021666201117094714
PMID: 33208066 [Indexed for MEDLINE]"
9783168,pH homeostasis and ATP synthesis: studies of two processes that necessitate inward proton translocation in extremely alkaliphilic Bacillus species,"Krulwich TA, Ito M, Hicks DB, Gilmour R, Guffanti AA.",Extremophiles. 1998 Aug;2(3):217-22. doi: 10.1007/s007920050063.,Krulwich TA,Extremophiles,1998,1998/10/23,,,10.1007/s007920050063,"1. Extremophiles. 1998 Aug;2(3):217-22. doi: 10.1007/s007920050063.

pH homeostasis and ATP synthesis: studies of two processes that necessitate 
inward proton translocation in extremely alkaliphilic Bacillus species.

Krulwich TA(1), Ito M, Hicks DB, Gilmour R, Guffanti AA.

Author information:
(1)Department of Biochemistry, Mount Sinai School of Medicine, New York, NY 
10029, USA. krulwich@msvax.mssm.edu

Alkaliphilic Bacillus species that are isolated from nonmarine, moderate salt, 
and moderate temperature environments offer the opportunity to explore 
strategies that have developed for solving the energetic challenges of aerobic 
growth at pH values between 10 and 11. Such bacteria share many structural, 
metabolic, genomic, and regulatory features with nonextremophilic species such 
as Bacillus subtilis. Comparative studies can therefore illuminate the specific 
features of gene organization and special features of gene products that are 
homologs of those found in non-extremophiles, and potentially identify novel 
gene products of importance in alkaliphily. We have focused our studies on the 
facultative alkaliphile Bacillus firmus OF4, which is routinely grown on 
malate-containing medium at either pH 7.5 or 10.5. Current work is directed 
toward clarification of the characteristics and energetics of 
membrane-associated proteins that must catalyze inward proton movements. One 
group of such proteins are the Na+/H+ antiporters that enable cells to adapt to 
a sudden upward shift in pH and to maintain a cytoplasmic pH that is 2-2.3 units 
below the external pH in the most alkaline range of pH for growth. Another is 
the proton-translocating ATP synthase that catalyzes robust production of ATP 
under conditions in which the external proton concentration and the bulk 
chemiosmotic driving force are low. Three gene loci that are candidates for 
Na+/H+ antiporter encoding genes with roles in Na(+)-dependent pH homeostasis 
have been identified. All of them have homologs in B. subtilis, in which pH 
homeostasis can be carried out with either K+ or Na+. The physiological 
importance of one of the B. firmus OF4 loci, nhaC, has been studied by targeted 
gene disruption, and the same approach is being extended to the others. The atp 
genes that encode the alkaliphile's F1F0-ATP synthase are found to have 
interesting motifs in areas of putative importance for proton translocation. As 
an initial step in studies that will probe the importance and possible roles of 
these motifs, the entire atp operon from B. firmus OF4 has been cloned and 
functionally expressed in an Escherichia coli mutant that has a full deletion of 
its atp genes. The transformant does not exhibit growth on succinate, but shows 
reproducible, modest increases in the aerobic growth yields on glucose as well 
as membrane ATPase activity that exhibits characteristics of the alkaliphile 
enzyme.

DOI: 10.1007/s007920050063
PMID: 9783168 [Indexed for MEDLINE]"
34669438,Isolation and Characterization of Lignocellulose-Degrading Geobacillus thermoleovorans from Yellowstone National Park,"Meslé MM, Mueller RC, Peach J, Eilers B, Tripet BP, Bothner B, Copié V, Peyton BM.",Appl Environ Microbiol. 2022 Jan 11;88(1):e0095821. doi: 10.1128/AEM.00958-21. Epub 2021 Oct 20.,Meslé MM,Appl Environ Microbiol,2022,2021/10/20,PMC8752141,,10.1128/AEM.00958-21,"1. Appl Environ Microbiol. 2022 Jan 11;88(1):e0095821. doi: 10.1128/AEM.00958-21.
 Epub 2021 Oct 20.

Isolation and Characterization of Lignocellulose-Degrading Geobacillus 
thermoleovorans from Yellowstone National Park.

Meslé MM(1)(2), Mueller RC(1)(2), Peach J(3), Eilers B(3), Tripet BP(3), Bothner 
B(3), Copié V(3), Peyton BM(1)(2)(4).

Author information:
(1)Thermal Biology Institute, Montana State Universitygrid.41891.35, Bozeman, 
Montana, USA.
(2)Center for Biofilm Engineering, Chemical and Biological Engineering 
Department, Montana State Universitygrid.41891.35, Bozeman, Montana, USA.
(3)Department of Chemistry and Biochemistry, Montana State 
Universitygrid.41891.35, Bozeman, Montana, USA.
(4)Department of Biological and Chemical Engineering, Montana State 
Universitygrid.41891.35, Bozeman, Montana, USA.

Erratum in
    Appl Environ Microbiol. 2022 May 10;88(9):e0059822.

The microbial degradation of lignocellulose in natural ecosystems presents 
numerous biotechnological opportunities, including biofuel production from 
agricultural waste and feedstock biomass. To explore the degradation potential 
of specific thermophiles, we have identified and characterized extremophilic 
microorganisms isolated from hot springs environments that are capable of 
biodegrading lignin and cellulose substrates under thermoalkaline conditions, 
using a combination of culturing, genomics, and metabolomics techniques. 
Organisms that can use lignin and cellulose as a sole carbon source at 60 to 
75°C were isolated from sediment slurry of thermoalkaline hot springs (71 to 
81°C and pH 8 to 9) of Yellowstone National Park. Full-length 16S rRNA gene 
sequencing indicated that these isolates were closely related to Geobacillus 
thermoleovorans. Interestingly, most of these isolates demonstrated biofilm 
formation on lignin, a phenotype that is correlated with increased 
bioconversion. Assessment of metabolite level changes in two Geobacillus 
isolates from two representative springs were undertaken to characterize the 
metabolic responses associated with growth on glucose versus lignin carbon 
source as a function of pH and temperature. Overall, results from this study 
support that thermoalkaline springs harbor G. thermoleovorans microorganisms 
with lignocellulosic biomass degradation capabilities and potential downstream 
biotechnological applications. IMPORTANCE Since lignocellulosic biomass 
represents a major agro-industrial waste and renewable resource, its potential 
to replace nonrenewable petroleum-based products for energy production is 
considerable. Microbial ligninolytic and cellulolytic enzymes are of high 
interest in biorefineries for the valorization of lignocellulosic biomass, as 
they can withstand the extreme conditions (e.g., high temperature and high pH) 
required for processing. Of great interest is the ligninolytic potential of 
specific Geobacillus thermoleovorans isolates to function at a broad range of pH 
and temperatures, since lignin is the bottleneck in the bioprocessing of 
lignocellulose. In this study, results obtained from G. thermoleovorans isolates 
originating from YNP springs are significant because very few microorganisms 
from alkaline thermal environments have been discovered to have lignin- and 
cellulose-biodegrading capabilities, and this work opens new avenues for the 
biotechnological valorization of lignocellulosic biomass at an industrial scale.

DOI: 10.1128/AEM.00958-21
PMCID: PMC8752141
PMID: 34669438 [Indexed for MEDLINE]"
32617733,Fast decolorization of azo dyes in alkaline solutions by a thermostable metal-tolerant bacterial laccase and proposed degradation pathways,"Navas LE, Carballo R, Levin L, Berretta MF.",Extremophiles. 2020 Sep;24(5):705-719. doi: 10.1007/s00792-020-01186-w. Epub 2020 Jul 2.,Navas LE,Extremophiles,2020,2020/07/04,,,10.1007/s00792-020-01186-w,"1. Extremophiles. 2020 Sep;24(5):705-719. doi: 10.1007/s00792-020-01186-w. Epub 
2020 Jul 2.

Fast decolorization of azo dyes in alkaline solutions by a thermostable 
metal-tolerant bacterial laccase and proposed degradation pathways.

Navas LE(1)(2), Carballo R(3)(2), Levin L(4)(2), Berretta MF(5)(6).

Author information:
(1)Instituto de Microbiología y Zoología Agrícola (IABiMo-INTA CONICET), Centro 
de Investigaciones en Ciencias Veterinarias y Agronómicas (CICVyA), Instituto 
Nacional de Tecnología Agropecuaria (INTA), Nicolás Repetto y De Los Reseros 
s/n. 1686 Hurlingham, Buenos Aires, Argentina.
(2)Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos 
Aires, Argentina.
(3)Instituto de Química y Fisicoquímica Biológicas (IQUIFIB-CONICET), Facultad 
de Farmacia y Bioquímica, Universidad de Buenos Aires, Junín 956, CP 1113, 
Buenos Aires, Argentina.
(4)Laboratorio de Micología Experimental, Facultad de Ciencias Exactas y 
Naturales, Departamento de Biodiversidad y Biología Experimental, Universidad de 
Buenos Aires, INMIBO-CONICET, Buenos Aires, Argentina.
(5)Instituto de Microbiología y Zoología Agrícola (IABiMo-INTA CONICET), Centro 
de Investigaciones en Ciencias Veterinarias y Agronómicas (CICVyA), Instituto 
Nacional de Tecnología Agropecuaria (INTA), Nicolás Repetto y De Los Reseros 
s/n. 1686 Hurlingham, Buenos Aires, Argentina. berretta.marcelo@inta.gob.ar.
(6)Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos 
Aires, Argentina. berretta.marcelo@inta.gob.ar.

Biocatalytic decolorization of azo dyes is hampered by their recalcitrance and 
the characteristics of textile effluents. Alkaline pH and heavy metals present 
in colored wastewaters generally limit the activity of enzymes such as laccases 
of fungal origin; this has led to an increasing interest in bacterial laccases. 
In this work, the dye decolorization ability of LAC_2.9, a laccase from the 
thermophilic bacterial strain Thermus sp. 2.9, was investigated. Its resistance 
towards different pHs and toxic heavy metals frequently present in wastewaters 
was also characterized. LAC_2.9 was active and highly stable in the pH range of 
5.0 to 9.0. Even at 100 mM Cd+2, As+5 and Ni+2 LAC_2.9 retained 99%, 86% and 75% 
of its activity, respectively. LAC_2.9 was capable of decolorizing 98% of 
Xylidine, 54% of RBBR, 40% of Gentian Violet, and 33% of Methyl Orange after 
24 h incubation at pH 9, at 60 °C, without the addition of redox mediators. At 
acidic pH, the presence of the mediator 1-hydroxybenzotriazole generally 
increased the catalytic effectiveness. We analyzed the degradation products of 
laccase-treated Xylidine and Methyl Orange by capillary electrophoresis and mass 
spectrometry, and propose a degradation pathway for these dyes. For its ability 
to decolorize recalcitrant dyes, at pH 9, and its stability under the tested 
conditions, LAC_2.9 could be effectively used to decolorize azo dyes in alkaline 
and heavy metal containing effluents.

DOI: 10.1007/s00792-020-01186-w
PMID: 32617733 [Indexed for MEDLINE]"
29958498,Stabilization of dry protein coatings with compatible solutes,"Killian MS, Taylor AJ, Castner DG.",Biointerphases. 2018 Jun 29;13(6):06E401. doi: 10.1116/1.5031189.,Killian MS,Biointerphases,2018,2018/07/01,PMC6026024,,10.1116/1.5031189,"1. Biointerphases. 2018 Jun 29;13(6):06E401. doi: 10.1116/1.5031189.

Stabilization of dry protein coatings with compatible solutes.

Killian MS(1), Taylor AJ(2), Castner DG(2).

Author information:
(1)Department of Materials Science and Engineering, Chair for Surface Science 
and Corrosion, Friedrich-Alexander-University of Erlangen-Nuremberg, Martensstr. 
7, 91058 Erlangen, Germany.
(2)National ESCA and Surface Analysis Center for Biomedical Problems 
(NESAC/BIO), Molecular Engineering and Sciences Institute, University of 
Washington, Seattle, Washington 98195 and Departments of Bioengineering and 
Chemical Engineering, University of Washington, Seattle, Washington 98195.

Exposure of protein modified surfaces to air may be necessary in several 
applications. For example, air contact may be inevitable during the implantation 
of biomedical devices, for analysis of protein modified surfaces, or for sensor 
applications. Protein coatings are very sensitive to dehydration and can undergo 
significant and irreversible alterations of their conformations upon exposure to 
air. With the use of two compatible solutes from extremophilic bacteria, ectoine 
and hydroxyectoine, the authors were able to preserve the activity of dried 
protein monolayers for up to >24 h. The protective effect can be explained by 
the preferred exclusion model; i.e., the solutes trap a thin water layer around 
the protein, retaining an aqueous environment and preventing unfolding of the 
protein. Horseradish peroxidase (HRP) immobilized on compact TiO2 was used as a 
model system. Structural differences between the compatible solute stabilized 
and unstabilized protein films, and between different solutes, were analyzed by 
static time-of-flight secondary ion mass spectrometry (ToF-SIMS). The biological 
activity difference observed in a colorimetric activity assay was correlated to 
changes in protein conformation by application of principal component analysis 
to the static ToF-SIMS data. Additionally, rehydration of the denatured HRP was 
observed in ToF-SIMS with an exposure of denatured protein coatings to ectoine 
and hydroxyectoine solutions.

DOI: 10.1116/1.5031189
PMCID: PMC6026024
PMID: 29958498 [Indexed for MEDLINE]"
35137260,Anion-type modulates the effect of salt stress on saline lake bacteria,"Csitári B, Bedics A, Felföldi T, Boros E, Nagy H, Máthé I, Székely AJ.",Extremophiles. 2022 Feb 9;26(1):12. doi: 10.1007/s00792-022-01260-5.,Csitári B,Extremophiles,2022,2022/02/09,PMC8825391,,10.1007/s00792-022-01260-5,"1. Extremophiles. 2022 Feb 9;26(1):12. doi: 10.1007/s00792-022-01260-5.

Anion-type modulates the effect of salt stress on saline lake bacteria.

Csitári B(#)(1)(2)(3), Bedics A(#)(1)(4), Felföldi T(1)(5), Boros E(5), Nagy 
H(1), Máthé I(6), Székely AJ(7)(8).

Author information:
(1)Department of Microbiology, ELTE Eötvös Loránd University, Pázmány Péter 
stny. 1/c, 1117, Budapest, Hungary.
(2)Department of Ecology and Genetics/Limnology, Uppsala University EBC, 
Norbyvägen 18D, 75236, Uppsala, Sweden.
(3)Department of Microbiology, Tumor and Cell Biology, Karolinska Institutet, 
Solnavägen 9, 17165, Stockholm, Sweden.
(4)Depatment of Molecular Ecology, Institute of Aquaculture and Environmental 
Safety, Hungarian University of Agriculture and Life Sciences, Páter Károly utca 
1, 2100, Gödöllő, Hungary.
(5)Institute of Aquatic Ecology, Centre for Ecological Research, Karolina u. 29, 
1113, Budapest, Hungary.
(6)Department of Bioengineering, Sapientia Hungarian University of Transylvania, 
Piaţa Libertăţii 1, 530104, Miercurea Ciuc, Romania.
(7)Department of Ecology and Genetics/Limnology, Uppsala University EBC, 
Norbyvägen 18D, 75236, Uppsala, Sweden. anna.szekely@slu.se.
(8)Department of Aquatic Sciences and Assessment, Swedish University of 
Agricultural Sciences (SLU), Box 7050, 75007, Uppsala, Sweden. 
anna.szekely@slu.se.
(#)Contributed equally

Beside sodium chloride, inland saline aquatic systems often contain other anions 
than chloride such as hydrogen carbonate and sulfate. Our understanding of the 
biological effects of salt composition diversity is limited; therefore, the aim 
of this study was to examine the effect of different anions on the growth of 
halophilic bacteria. Accordingly, the salt composition and concentration 
preference of 172 strains isolated from saline and soda lakes that differed in 
ionic composition was tested using media containing either carbonate, chloride 
or sulfate as anion in concentration values ranging from 0 to 0.40 mol/L. 
Differences in salt-type preference among bacterial strains were observed in 
relationship to the salt composition of the natural habitat they were isolated 
from indicating specific salt-type adaptation. Sodium carbonate represented the 
strongest selective force, while majority of strains was well-adapted to growth 
even at high concentrations of sodium sulfate. Salt preference was to some 
extent associated with taxonomy, although variations even within the same 
bacterial species were also identified. Our results suggest that the extent of 
the effect of dissolved salts in saline lakes is not limited to their 
concentration but the type of anion also substantially impacts the growth and 
survival of individual microorganisms.

© 2022. The Author(s).

DOI: 10.1007/s00792-022-01260-5
PMCID: PMC8825391
PMID: 35137260 [Indexed for MEDLINE]

Conflict of interest statement: We declare that there is no actual or potential 
conflict of interest."
