"Diseases","DiseasesID","PMID","PMCID","Sentences"
" new alkaliphilic","C000657245",36581887,9798632,"A set of new alkaliphilic and thermophilic fungal laccases has been developed to operate under the extreme conditions of high temperature and pH typical of industrial wood conversion processes.;  Also shown is the activity profile of the original wild PM1 laccase (black circles). c T50 (10 min) of parent laccases 7A12 and RY2 and evolved variants selected during laccase directed evolution. d Activities detected in the liquid extracts of flask cultures of S. cerevisiae clones expressing the new alkaliphilic laccase variants from 7A12 (green) or RY2 (blue) lineages.; The high redox potential of parent laccase RY2 was maintained in the new alkaliphilic variant Li10 at pH 5.5 (Table ​(Table2).2).;  Finally, the new alkaliphilic laccase variants maintain the high redox potential of the parent type."
"abiotic stresses","D000079225 ",33925342,8123667," Late embryogenesis abundant (LEA) proteins typically accumulate in response to various abiotic stresses, including dehydration, salinity, high temperature, and cold, or during the late stage of seed development.;  Late embryogenesis abundant proteins (LEAs) and abscisic acid-, stress-, and ripening-induced proteins (ASRs) are supposed to play crucial roles in the processes of drought resistance or other water-deficit stresses [1,2,3,4,5]. LEA genes have been characterized in plants ranging from algae to higher plants, as well as in invertebrates, fungi, and bacteria [6]. LEA proteins, which are intrinsically disordered proteins, often have the feature of high hydrophilicity and are identified as hydrophilins [7,8]. LEA proteins play protective roles during cell exposure to different abiotic stresses, and these roles are associated with antioxidant, metal ion binding, membrane and protein stabilization, hydration buffering, and DNA and RNA interaction properties [9,10]. Unlike LEA proteins, ASR proteins are plant specific and possess apparent features that are typically absent in Brassicaceae species [11]. Numerous reports have indicated that plant ASRs have important functions in response to water-deficit stress in many plant species, basically acting as transcription factors or chaperones [12,13]. Some previous reports also classified plant ASRs into the LEA superfamily [8,14].;  Many reports have indicated that the majority of plant LEA mRNAs are induced by various abiotic stresses, such as drought, high salinity, low temperature, oxidation, and osmotic stress [6,18,20]. Some reports have also indicated that in addition to transcriptional regulation, LEA proteins undergo translational or posttranslational modifications, reflecting the complexity of the regulation of these proteins at various levels [21,22]. Basically, LEA proteins are predicted to keep intrinsically disordered proteins in the fully hydrated state, which can then be folded in the water-deficit state and acquire α-helical structures.; The ASR proteins, by contrast, seem to be plant-specific with a small gene family [11,29]. ASRs also have a low molecular weight and exhibit heat-stable and highly hydrophilic characteristics in plants [30]. As observed for plant LEAs, many reports have found that ASRs are also functionally involved in abiotic stress responses, acting as molecular chaperons [31], osmotic adjustment proteins [32], metal-binding protein [33], and antioxidation or detoxification proteins [34,35]. In addition, some ASRs also possess unique functions as transcription factors [12,36]. Due to their highly similar biochemical properties and biological functions, some recent studies have also classified ASRs as LEA proteins in the LEA_7 group [11,37,38]. Numerous reports also indicate that plant ASR genes respond to ABA and abiotic stresses such as water deficit, salt, drought, cold, and osmotic stress [11,13].; In addition, ASRs and dehydrins have been reported to be crucial in the tolerance to different abiotic stresses, including drought, high salinity/alkaline, or extreme temperatures [11,41]. The LEA_4 subfamily has been suggested to have a close association with the evolution of desiccation tolerance in plants [20]. In this study, we paid special attention to the promoter regions of CrASRs (three members), CrDHNs (five members), and CrLEA_4s (two members).; Based on reports on the different LEA numbers involved in abiotic stresses [8,11,20,41,42,43,44,45], with reference to the RNA-Seq results and the promoter region analysis, we further identified 10 genes (including three CrASRs, five CrDHNs, and two CrLEA_4s) for expression analysis in different C. rosea tissues.; Combined with our transcriptional analyses and promoter regions’ prediction, we could conclude preliminarily that these 10 CrLEAs and CrASRs (three CrASRs, five CrDHNs, and two CrLEA_4s) are closely related with the adaptation to abiotic stresses in C. rosea, especially to high salinity, alkaline, or water deficit, etc.;  ASR genes, which encode hydrophilic proteins or transcription factors, were first identified from a tomato cDNA library and participated in response to water-stressed conditions both in stressed leaves and in ripe fruits [41]. LEA proteins constitute a large multigene family that is closely related to the response to abiotic stresses in multiple plant species and that protects cells against water deficit caused by drought and other stresses.; The accumulation of LEA proteins in cells is crucial for the response of organisms to different abiotic stresses.;  These elements are believed to be involved in plant responses to dehydration, low temperature, salt stress, and other abiotic stresses (http://bioinformatics.psb.ugent.be/webtools/plantcare/html/, accessed on 1 March 2021)."
" dehydration","D003681 ",33925342,8123667," Late embryogenesis abundant (LEA) proteins typically accumulate in response to various abiotic stresses, including dehydration, salinity, high temperature, and cold, or during the late stage of seed development.;  It has been proved that plant ASRs are closely related with water deficit stress and drought tolerance [11,41], and the dehydrins play fundamental roles in plant response and adaptation to salinity and dehydration stresses [8,42]. LEA_4 genes, also known as group 3 [8], have been proved being strongly associated with drought tolerance in basal and angiosperm resurrection plants via ABA signaling pathway [20]. The RNA-Seq analysis showed that nine of these 10 genes displayed higher expression levels in the YX leaf sample than in the SCBG leaf sample (except for CrASR2).; LEA protein genes, which were first identified on account of their marked transcript accumulation in embryos for coping with rapid dehydration during seed maturation [15], were later found to be induced in vegetative plant tissues under environmental stress conditions.;  Most LEA proteins are termed hydrophilins mainly due to their unifying and outstanding feature of high hydrophilicity and a high content of Gly and small amino acids such as Ala and Ser [8]. Previous research indicated that some LEA proteins present a high degree of unordered structure in solution and are considered IDPs [23]. The high hydrophilicity and intrinsically disordered features of LEAs facilitate their protective functions by promoting associations with membrane surfaces or protein partners for protection, and by sequestering H2O, ROS, ions, or other small molecules for alleviating damage or toxicity [23]. Except for some LEA_2 members, most of CrLEA/CrASR proteins showed negative GRAVY scores (<0) (Table 1), indicating that these proteins have strong hydrophilicity and could offer pivotal protective roles under rapid and severe dehydration in plants.;  Numerous reports have demonstrated that overexpressing LEA genes in different organisms resulted in improved salinity and dehydration tolerance.;  These elements are believed to be involved in plant responses to dehydration, low temperature, salt stress, and other abiotic stresses (http://bioinformatics.psb.ugent.be/webtools/plantcare/html/, accessed on 1 March 2021)."
" cold","D000067390 ",33925342,8123667," Late embryogenesis abundant (LEA) proteins typically accumulate in response to various abiotic stresses, including dehydration, salinity, high temperature, and cold, or during the late stage of seed development.; Abiotic stresses, such as high temperature, high salinity/alkaline, extreme aridity, and cold or freezing, influence plant growth and often cause deficit in cellular water, thereby causing a series of changes, including biochemical alterations in gene expression, osmolytes, and the accumulation of specific proteins involved in the stress response.; The ASR proteins, by contrast, seem to be plant-specific with a small gene family [11,29]. ASRs also have a low molecular weight and exhibit heat-stable and highly hydrophilic characteristics in plants [30]. As observed for plant LEAs, many reports have found that ASRs are also functionally involved in abiotic stress responses, acting as molecular chaperons [31], osmotic adjustment proteins [32], metal-binding protein [33], and antioxidation or detoxification proteins [34,35]. In addition, some ASRs also possess unique functions as transcription factors [12,36]. Due to their highly similar biochemical properties and biological functions, some recent studies have also classified ASRs as LEA proteins in the LEA_7 group [11,37,38]. Numerous reports also indicate that plant ASR genes respond to ABA and abiotic stresses such as water deficit, salt, drought, cold, and osmotic stress [11,13]."
" stress","D000079225",33925342,8123667," Late embryogenesis abundant (LEA) proteins typically accumulate in response to various abiotic stresses, including dehydration, salinity, high temperature, and cold, or during the late stage of seed development.;  Abscisic acid-, stress-, and ripening-induced (ASR) genes are stress and developmentally regulated plant-specific genes.; Abiotic stresses, such as high temperature, high salinity/alkaline, extreme aridity, and cold or freezing, influence plant growth and often cause deficit in cellular water, thereby causing a series of changes, including biochemical alterations in gene expression, osmolytes, and the accumulation of specific proteins involved in the stress response.;  Late embryogenesis abundant proteins (LEAs) and abscisic acid-, stress-, and ripening-induced proteins (ASRs) are supposed to play crucial roles in the processes of drought resistance or other water-deficit stresses [1,2,3,4,5]. LEA genes have been characterized in plants ranging from algae to higher plants, as well as in invertebrates, fungi, and bacteria [6]. LEA proteins, which are intrinsically disordered proteins, often have the feature of high hydrophilicity and are identified as hydrophilins [7,8]. LEA proteins play protective roles during cell exposure to different abiotic stresses, and these roles are associated with antioxidant, metal ion binding, membrane and protein stabilization, hydration buffering, and DNA and RNA interaction properties [9,10]. Unlike LEA proteins, ASR proteins are plant specific and possess apparent features that are typically absent in Brassicaceae species [11]. Numerous reports have indicated that plant ASRs have important functions in response to water-deficit stress in many plant species, basically acting as transcription factors or chaperones [12,13]. Some previous reports also classified plant ASRs into the LEA superfamily [8,14].; LEA proteins are reported to be involved in response to various stress conditions and plant development.;  Many reports have indicated that the majority of plant LEA mRNAs are induced by various abiotic stresses, such as drought, high salinity, low temperature, oxidation, and osmotic stress [6,18,20]. Some reports have also indicated that in addition to transcriptional regulation, LEA proteins undergo translational or posttranslational modifications, reflecting the complexity of the regulation of these proteins at various levels [21,22]. Basically, LEA proteins are predicted to keep intrinsically disordered proteins in the fully hydrated state, which can then be folded in the water-deficit state and acquire α-helical structures.;  The ordered LEAs can act as molecular chaperones to bind enzymes, membranes, DNA/RNA, water or ions, and reactive oxygen species (ROS), therefore playing crucial roles in stabilizing proteins/membranes and maintaining cellular environmental homeostasis under abiotic stress [23]. Many studies have characterized several LEA gene families from a few sequenced genomes of plant species, particularly from plant species in specialized habitats, such as halophytes [24], xerophytes [25,26], heat- or freeze-tolerant plants [27,28], or cash crops with strong adversity resistance [24,25,26,27,28,29]. In general, the LEA families that have been identified and studied all contain dozens of members with similar structural and functional plasticity, with the typical evolutionary features and genomic diversification resulting from the adaptation of plants to water-limited environments [20]. ; The ASR proteins, by contrast, seem to be plant-specific with a small gene family [11,29]. ASRs also have a low molecular weight and exhibit heat-stable and highly hydrophilic characteristics in plants [30]. As observed for plant LEAs, many reports have found that ASRs are also functionally involved in abiotic stress responses, acting as molecular chaperons [31], osmotic adjustment proteins [32], metal-binding protein [33], and antioxidation or detoxification proteins [34,35]. In addition, some ASRs also possess unique functions as transcription factors [12,36]. Due to their highly similar biochemical properties and biological functions, some recent studies have also classified ASRs as LEA proteins in the LEA_7 group [11,37,38]. Numerous reports also indicate that plant ASR genes respond to ABA and abiotic stresses such as water deficit, salt, drought, cold, and osmotic stress [11,13].;  There is no doubt that C. rosea has developed elaborate mechanisms to adapt to the high sanity/alkaline drought stress caused by saltwater intrusion or freshwater deficit in sand dunes or coral reefs, and thus the identification of stress-relevant genes in this species is quite necessary.;  Additionally, the genome provides a source for mining the genetic resources, including LEA/ASR genes, of C. rosea plants, which have evolved to survive under extreme stress.; In addition, ASRs and dehydrins have been reported to be crucial in the tolerance to different abiotic stresses, including drought, high salinity/alkaline, or extreme temperatures [11,41]. The LEA_4 subfamily has been suggested to have a close association with the evolution of desiccation tolerance in plants [20]. In this study, we paid special attention to the promoter regions of CrASRs (three members), CrDHNs (five members), and CrLEA_4s (two members).;  We summarized the abiotic stress-related cis-regulatory elements (including MYB, MYC, as-1, ABRE, MBS, ERE, LTR, and TC-rich repeats) within these 10 CrASR and CrLEA promoter regions (Figure 5B).;  The categories and numbers of these elements suggested that the mechanisms regulating CrASR and CrLEA expression are involved in stress responses.;  As these genes had a high number of cis-regulatory elements related to ABA and drought stress responses, they were also selected for further functional analysis to obtain their detailed functions and regulatory mechanisms.; Based on reports on the different LEA numbers involved in abiotic stresses [8,11,20,41,42,43,44,45], with reference to the RNA-Seq results and the promoter region analysis, we further identified 10 genes (including three CrASRs, five CrDHNs, and two CrLEA_4s) for expression analysis in different C. rosea tissues.;  Our aim was to examine the spatio-temporal patterns of these genes under various abiotic stress conditions and ABA treatment, from which we simulated the stressful conditions of the tropical coral reef in the laboratory, as far as possible.;  It has been proved that plant ASRs are closely related with water deficit stress and drought tolerance [11,41], and the dehydrins play fundamental roles in plant response and adaptation to salinity and dehydration stresses [8,42]. LEA_4 genes, also known as group 3 [8], have been proved being strongly associated with drought tolerance in basal and angiosperm resurrection plants via ABA signaling pathway [20]. The RNA-Seq analysis showed that nine of these 10 genes displayed higher expression levels in the YX leaf sample than in the SCBG leaf sample (except for CrASR2).;  The qRT-PCR analysis showed that all 10 genes were induced by different stresses or ABA in different organs to various degrees, while their expression levels were specific and variable (Figure 7).;  The mannitol stress (simulated drought) and ABA treatment caused significantly higher expression induction than the high salinity and alkaline treatments.;  Generally, alkaline stress showed a slighter effect than the other three treatments.;  Distinctively, CrLEA4-1 and CrLEA4-2 were significantly induced in all C. rosea tissues with the mannitol stress and ABA treatment, and the transcripts of CrLEA4-2 showed a significant increase in the roots of C. rosea under high salt treatment (Figure 7A).;  Based on the above analysis, the results of the qRT-PCR are basically consistent with the results of the RNA-Seq analysis pertaining to the different habitats, and we propose that these genes may play important roles in the response of C. rosea to abiotic stress and adaptation to the extreme environment in the coral reef.; Quantitative RT-PCR detection of the expression levels of the 10 CrLEA/CrASR genes responding to different stresses (600 mM NaCl, 150 mM NaHCO3, 300 mM mannitol, or 100 mM ABA) in C. rosea seedling plants. (A) 3 CrASRs and 2 CrLEA_4s. (B) 5 CrDHNs.; Combined with our transcriptional analyses and promoter regions’ prediction, we could conclude preliminarily that these 10 CrLEAs and CrASRs (three CrASRs, five CrDHNs, and two CrLEA_4s) are closely related with the adaptation to abiotic stresses in C. rosea, especially to high salinity, alkaline, or water deficit, etc.;  To identify their potential roles in vivo, we performed a series of heterogeneous expression assays of the above 10 genes in a yeast system for functional stress tolerance investigation.;  Due to the highly hydrophilic features and putative antioxidative abilities of CrLEAs and CrASRs, we also tested several other abiotic stress tolerances in the yeast WT strain (Figure 8B, upper).;  In Figure 8B with respect to salt stress, the majority of the above 10 genes showed elevated salinity tolerance in yeast than empty vector pYES2, while the effects varied.;  The expression of all 10 genes elevated the alkaline stress tolerance of the yeast.;  Furthermore, most of the 10 CrLEAs and CrASRs could increase the high osmotic stress tolerance of yeast when expressed in the WT strain (Figure 8B, lower).;  Although these yeast stress tolerance results are preliminary, and a few members even showed no significant effects against some stress challenges, there is still need for further functional identification in plants using transgenic systems.; The tolerance confirmations of the 3 CrASRs, 5 CrDHNs, and 2 CrLEA_4s heteroexpression in yeast. (A) H2O2 oxidative stress tolerance confirmations in yeast. (B) Salt, alkaline, cadmium, and high osmotic tolerance confirmations in yeast.;  The stress factors with different concentrations were showed in figures.; Due to the significant roles of LEA and ASR proteins in water deficit stress responses and ROS scavenging abilities, they are believed to act in multiple developmental processes and in response to various stresses, as indicated in a number of previous reports [1,2,3,9]. As C. rosea is a halophyte with the typical features of high salt/alkaline and drought tolerance, it is necessary to systematically investigate the potential role of LEA/ASRs, especially given the lack of studies on LEA/ASR genes in legumes (Fabaceae).;  It is believed that C. rosea has developed a series of sophisticated mechanisms at multiple levels to cope with stress, including morphological, physiological, and genetic changes and adaptations, ultimately regulating the expression of stress-responsive genes through complex networks.;  The downstream responsive genes include some water stress-related genes, such as LEAs or ASRs, aquaporins, or ROS-producing and scavenging genes.; LEA protein genes, which were first identified on account of their marked transcript accumulation in embryos for coping with rapid dehydration during seed maturation [15], were later found to be induced in vegetative plant tissues under environmental stress conditions.;  ASR genes, which encode hydrophilic proteins or transcription factors, were first identified from a tomato cDNA library and participated in response to water-stressed conditions both in stressed leaves and in ripe fruits [41]. LEA proteins constitute a large multigene family that is closely related to the response to abiotic stresses in multiple plant species and that protects cells against water deficit caused by drought and other stresses.;  Both LEAs and ASRs are known to participate in multiple developmental processes and in response to various stresses, mainly water shortage challenges.;  Subcellular localization prediction revealed that the CrLEA/CrASR proteins were present in all subcellular compartments, which is consistent with the functional prediction that LEA/ASR proteins in principal groups are ubiquitous within cells and are required in all cellular compartments responding to abiotic stress [49]. We also predicted the 3D structures and calculated the disordered amino acid contents of all CrLEA/CrASR proteins, and the results indicated that except CrLEA_2 and CrSMP subfamilies, the other proteins showed obviously disordered structures (Figures S1 and S2).;  Furthermore, previous studies have indicated that plant stress-responsive genes without or with few introns could reduce the time required from transcription to translation, therefore providing good adaptation abilities for plants responding to changes in environments and habitats [46]. Combined with the CrLEA/CrASR gene structure and protein motif, we can infer that CrLEA/CrASR proteins are evolutionarily conserved, and their functions have group specificity.;  The other segmental duplications occurring in CrLEA_1, CrLEA_3, CrLEA_4, and CrLEA_5 indicated that these LEA genes might participate in the adaptive evolution of C. rosea to water shortage stresses by increasing their gene numbers.; As LEAs have been confirmed to endow plants with a variety of abiotic and biological stress tolerances, LEA families often have multiple copies of LEA genes in various plant species for that very reason.;  Our statistical analysis results of the promotors of CrLEAs/CrASRs showed that most of the promoter regions contained cis-regulatory elements, such as ABRE, MYC, MYB, MBS, TC-rich repeats, and several hormone-related responsive elements, suggesting that these genes could be regulated or affected by different stresses (Figure 5A).;  The contribution of single CrLEA or CrASR genes to the stress tolerance and environmental adaptation of C. rosea needs to be further explored. ; We also used qRT-PCR to investigate the expression patterns of 10 candidate genes in C. rosea plants under salt, alkaline, high osmotic treatment, and ABA stresses.;  Detailed expression profiles of these 10 CrLEA/CrASR genes revealed that most were significantly up-regulated after the high osmotic stress (NaCl or mannitol) or ABA treatment, while the alkaline stress showed the least impact on the expression changes of candidate genes (Figure 7).;  This result is consistent with several previous reports of LEA genes in other plant species, in which their expression was also greatly affected by abiotic stress challenges and hormone treatments [19,48,50]. The relevant roles of ASRs, DHNs, or the LEA_4s subfamily genes during plant stress tolerance have been reported in earlier studies using various techniques [11,20,42]. Here both the RNA-Seq and the qRT-PCR results indicated that these genes might be vital factors influencing the adaptability of C. rosea plants to salt/alkaline and drought stresses in tropical or subtropical coastal regions.; The accumulation of LEA proteins in cells is crucial for the response of organisms to different abiotic stresses.;  It exhibits excellent salt tolerance and drought resistance, and the induction of IpLEAs in yeast obviously improved the salt and oxidative stress tolerance of yeast clones [51]. Prior studies revealed that some LEA genes from Dendrobium officinale were able to enhance the cellular tolerance to high temperature and salt stresses of E. coli cells [49]. For ASR genes, our previous research also demonstrated that an I. pes-caprae ASR gene, IpASR, could improve salinity and drought tolerance in transgenic E. coli and Arabidopsis [45]. In summary, LEA and ASR genes are pertinent research subjects in plant stress physiology and are mainly involved in drought or salinity tolerance in plants.;  Here, we identified and characterized 10 CrLEA/CrASR genes in C. rosea for the first time and performed functional verification in yeast to investigate bioactivities for abiotic stress resistance.;  The majority of the 10 tested genes elevated the high salinity, alkaline, and high osmotic stress tolerance of yeast compared with the empty vector control, while some even showed heavy metal Cd tolerance, but not significantly so (Figure 8B).;  Our results demonstrated that these CrLEA/CrASR genes may play protective roles in cells under water-deficit conditions caused by high salt/alkaline and high osmotic stresses, and they also could improve cell survival via their antioxidant capacities or metal chelating abilities.;  This indicated that CrASR1 could act as a transcriptional regulator together with chaperone-like proteins or hydrophilins, like other LEA/ASR proteins [11,34]. Previous studies have proved that tomato ASR1 is a drought stress-responsive transcription factor, and its consensus ASR1-binding motif was enriched in some specific tomato genomic loci, possibly containing several aquaporin genes [12,52]. A recent study on CaASR1 in another Solanaceae species, Capsicum annuum, also provided evidence that CaASR1 could interact with the transcription factor CabZIP63 and is a positive regulator of the defense response of pepper to the pathogen R. solanacearum, probably by acting as a transcription activator [53]. Our results strongly suggest that CrASR1 showed quite different features from the other two CrASRs or CrLEAs (Figure 8 and Figure 9), and this protein might fulfill an important function in salt/drought tolerance and regulate the environmental adaptation of C. rosea to tropical coastal regions, although more research is needed for further clarification.; The responses of the CrLEA and CrASR genes to different stresses and hormone treatments were investigated.;  In brief, for high salinity stress, the C. rosea seedlings were removed from the pots and carefully washed with distilled water to remove soil from the roots, following which they were transferred into 600 mM NaCl solution; for salt-alkaline stress, the cleaned C. rosea seedlings were soaked in a 150 mM NaHCO3 (pH 8.2) solution; for the drought treatment, the seedlings were soaked in a 300 mM mannitol solution; and for abscisic acid (ABA) treatment, a freshly prepared working solution of 100 μM exogenous ABA was sprayed onto the leaves of the C. rosea seedlings.;  The second and/or third mature leaves from the shoot apexes were collected at 0, 2, and 24 h during the stress treatments, and the starting point (0 h) was used as the control.;  The stress- and hormone-related cis-regulatory elements included light response elements, gibberellin-responsive elements, methyl jasmonate (MeJA)-responsive elements, auxin response elements, salicylic acid responsiveness elements, ABA response elements (ABRE), ethylene response elements (ERE), MYC transcription factor binding elements (MYC), MYB transcription factor binding elements (MYB and MBS), TC-rich repeats, LTR, and as-1.;  These elements are believed to be involved in plant responses to dehydration, low temperature, salt stress, and other abiotic stresses (http://bioinformatics.psb.ugent.be/webtools/plantcare/html/, accessed on 1 March 2021).;  Total RNA was extracted from the C. rosea seedling roots, vines, and leaves under the stress/ABA treatment and unstressed treatment using an RNA plant extraction kit (Magen, Biotech, Guangzhou, China) according to the manufacturer’s instructions, and approximately 1 μg of purified total RNA was reverse transcribed into cDNA in a 20 μL reaction volume using AMV reverse transcriptase (TransGen Biotech, Beijing, China) according to the supplier’s instructions.;  In brief, total RNA was extracted from C. rosea seedling tissues under the stress/ABA treatments and reverse transcribed into cDNA.;  In short, the PCR fragments were inserted into the BamHI and EcoRI sites of pYES2 and after sequencing confirmation, these recombinant expression vectors were transformed into different yeast strains to verify the stress tolerance functions.;  A synthetic defined (SD) yeast medium without uracil (SD-Ura) containing 2% (w/v) galactose (Gal) was used as the yeast induction medium (SDG-Ura) during the salt/alkaline tolerance and oxidative stress experiments on solid medium for the localization observations.;  The concentrations of the different stress factors are indicated in the figure legends.;  The CrLEA/CrASR superfamily was involved in the adaptation of C. rosea to different habitats, and 10 of the CrLEA/CrASR members showed obvious differences in gene expression in response to salt/alkaline stress, high osmotic stress, or ABA treatment.;  This systematic study provides new information on the LEA/ASR superfamily in C. rosea and further expands our understanding of the association of CrLEA/CrASR genes with natural ecological adaptability and abiotic stress responses in C. rosea.;  Our findings should also inform the genetic improvement of other legume plants or crops and provide candidate stress-resistance genes for future research."
"dehydration","D003681 ",29958498,6026024," Protein coatings are very sensitive to dehydration and can undergo significant and irreversible alterations of their conformations upon exposure to air."
" extremophilic bacteria","C537702",29958498,6026024," With the use of two compatible solutes from extremophilic bacteria, ectoine and hydroxyectoine, the authors were able to preserve the activity of dried protein monolayers for up to >24 h.; In solution, it was shown that protein functionality can be preserved under harsh conditions to a great extent by addition of compatible solutes from extremophilic bacteria such as ectoine and hydroxyectoine.17–19 These substances sustain the protein tertiary structure even under hostile conditions such as extreme temperatures, urea, freeze-thaw treatments, and lyophilization."
"rheumatic disorders","D012216",36000901,9602452," This healing water, which is approximately 13 thousand years old, is used under medical supervision for the treatment of patients with neurological and rheumatic disorders.;  This healing water, which is approximately 13 thousand years old, is used under medical supervision for the treatment of patients with neurological and rheumatic disorders."
"KPD","D003922 ",36094301,9602519," The peptide shows a broader antibacterial spectrum than the parental enzyme, showing potent antimicrobial activity against clinical strains of Gram-positive staphylococci and Gram-negative pathogens and causing between 3.04 ± 0.12 log kill for Pseudomonas aeruginosa PAO1 and 7.10 ± 0.05 log kill for multidrug-resistant Acinetobacter baumannii KPD 581 at a 5 μM concentration.;  Moreover, Intestinalin (P30) prevents biofilm formation and destroys 24-h and 72-h biofilms formed by Acinetobacter baumannii CRAB KPD 205 (reduction levels of 4.28 and 2.62 log CFU/mL, respectively).;  For Gram-positive bacteria, LysC showed the greatest activity against a clinical isolate of S. aureus KPD 425 (6.83 ± 0.10 CFU log reduction [mean ± standard deviation]) and the least against S. aureus KPD 740 (4.76 ± 0.27 CFU log reduction).;  Between A. baumannii and P. aeruginosa strains, the greatest activity was shown against A. baumannii KPD 581 (7.10 ± 0.05 logs), and the least activity was observed for P. aeruginosa PAO1 (2.03 ± 0.07 logs).;  The LysC enzyme was barely active against enterobacteria (other than Citrobacter braakii; 4.75 ± 0.04 CFU log reduction) and showed 0.74 ± 0.05 log reduction of Enterobacter cloacae KPD 297, 0.34 ± 0.15 log reduction of Escherichia coli KPD 217, and 0.40 ± 0.04 log reduction of Klebsiella pneumoniae KPD 298 cells.; The Intestinalin peptide was active against all bacterial pathogens tested, with a specific reduction between 3.04 ± 0.12 logs for Pseudomonas aeruginosa PAO1 and 7.31 ± 0.02 logs for Enterobacter cloacae KPD 297 (Table 1).;  Intestinalin had a broader antibacterial spectrum encompassing E. cloacae KPD 297, E. coli KPD 217, and K. pneumoniae KPD 298, with activity exceeding 5.28-log reductions in bacterial counts, while the killing activity of LysC against these strains was in a range of 0.34- to 0.74-log decrease (Table 1).;  Examples of acetic acid-dissolved biofilms without (control) or in the presence of Intestinalin at concentrations of 5 μM and 10 μM are shown for S. aureus ATCC 25923 (Fig. 1C) and A. baumannii CRAB KPD 205 (Fig. 1D).;  For Intestinalin at a concentration of 10 μM, biofilm formation was significantly reduced by 99.7% for S. pettenkoferi KPD 741 in the group of Gram-positive bacteria and by 89.7% for two Gram-negative bacteria, A. baumannii CRAB KPD 205 and E. cloacae KPD 297 (P = 0.0001).;  The lowest inhibitions of biofilm formation were 25.4% for S. hominis KPD 910 (Gram-positive bacteria) and 24.3% for K. pneumoniae KPD 298 (Gram-negative bacteria) (P ≤ 0.0002).;  Experiments were performed in triplicate; error bars indicate standard deviations. *, P = 0.0001; #, P ≤ 0.0002 (Student's t test). (C and D) Photograph showing the crystal violet-stained biofilm formed by S. aureus ATCC 25923 (C) and A. baumannii CRAB KPD 205 (D) in the absence (control) or presence of Intestinalin at concentrations of 5 μM and 10 μM.;  The highest MICs (> 124 μM) were observed for S. aureus KPD 740, S. aureus KPD 425, E. cloacae KPD 297, E. coli KPD 217, and K. pneumoniae KPD 298.;  The lowest MICs (7.8 μM) were against three of four A. baumannii strains tested, as well as for S. hominis KPD 910 and S. pettenkoferi KPD 741.;  Bar, 10 μm. (G) Biofilm of A. baumannii CRAB KPD 205 in a LabTek chamber slide system (Thermo Fisher Scientific) after 24 h and 72 h of growth in the control experiment and after incubation with Intestinalin (P30) at twice the MIC (15.6 μM) for 3 h. (H) Reduction levels of A. baumannii CARB KPD 205 biofilms formed in a 24-well microtiter plate in the control and after incubation with Intestinalin (P30) at twice the MIC (15.6 μM) for 3 h.;  The impact of Intestinalin (P30) on biofilm formed by A. baumannii CRAB KPD 205 showed the same effect, and incubation with peptide resulted in the appearance of dead cells (Fig. 7G).;  Clinical strains of Staphylococcus aureus KPD 740, S. aureus KPD 425, S. epidermidis KPD 440, S. hominis KPD 910, S. pettenkoferi KPD 741, A. baumannii CARB KPD 205, A. baumannii MDR KPD 581, A. baumannii MDR KPD 735, Citrobacter braakii KPD 218, Enterobacter cloacae KPD 297, Escherichia coli KPD 217, Klebsiella pneumoniae KPD 298, Pseudomonas aeruginosa KPD 430, and P. aeruginosa CRPA KPD 431 were provided by the Collection of Plasmids and Microorganisms (KPD) at the University of Gdansk, Poland, with patterns of antibiotic resistance available for each strain.;  The biofilms of A. baumannii CARB KPD 205 were prepared in 24-well microtiter plates (Costar, Corning, NY).;  Additionally, the biofilm of A. baumannii CARB KPD 205 was prepared in an experimental system according to methods described by Kocot and Olszewska (65)."
" cytotoxicity","D064420 ",36094301,9602519," The activity of Intestinalin is combined with both no cytotoxicity and little hemolytic effect against mammalian cells.; Often, strong hemolytic activity and mammalian cytotoxicity hamper the clinical use of antibacterial peptides."
" infectious diseases","D003141",36094301,9602519,"IMPORTANCE Antibiotic resistance is rising rapidly among pathogenic bacteria, becoming a global public health problem that threatens the effectiveness of therapies for many infectious diseases.; The emergence and spread of antibiotic-resistant bacteria is a serious global public health problem affecting medical treatment effectiveness for many infectious diseases (1, 2)."
