species,SpeciesID,Length,PMID
Bacillus halodurans C-125,272558.0,3,"[10972189, 10805564, 11057908]"
Bacillus halotolerans,260554.0,1,[34681129]
Bacillus haynesii,1925021.0,2,"[32424739, 35587636]"
Bacillus iranensis,930128.0,1,[26696418]
Bacillus iranensis-,930128.0,1,[26696418]
Bacillus licheniformis,1402.0,2,"[31407121, 32424739]"
Bacillus litoralis,152268.0,1,[24817611]
Bacillus marmarensis DSM 21297,1188261.0,1,[30457468]
Bacillus pseudofirmus,79885.0,1,[20344941]
Bacillus pseudofirmus OF4,398511.0,3,"[20344941, 11029415, 18048917]"
Bacillus pumilus,1408.0,2,"[31407121, 27891113]"
Bacillus rRNA group 1,1386.0,2,"[18769867, 22297696]"
Bacillus simplex,1478.0,1,[32050135]
Bacillus sp,1409.0,3,"[11354456, 11057908, 32617734]"
Bacillus sp.,1409.0,1,[11057913]
Bacillus sp. 8SB,445330.0,1,[18401746]
Bacillus sp. AO1,340959.0,1,[30105570]
Bacillus sp. KSM-635,1415.0,1,[9680303]
Bacillus sp. KSM-S237,109789.0,1,[9680321]
Bacillus sp. N16-5,122631.0,1,[15316858]
Bacillus sp. NPST-AK15,1623497.0,1,[26159877]
Bacillus sp. WW3-SN6,92608.0,1,[10972188]
Bacillus sp. strai,122089.0,3,"[11354456, 11139081, 19779762]"
Bacillus sp. strain,1418.0,2,"[15999223, 17429572]"
Bacillus sp. strain J,253629.0,1,[15999223]
Bacillus sp. strain K,109322.0,1,[15022105]
Bacillus sp. strain NP,1623497.0,1,[26159877]
Bacillus subtilis,1423.0,13,"[9783168, 31938738, 26026992, 11139081, 18048917, 10805564, 11699647, 11057908, 27114252, 31407121, 30266724, 15999223, 11057913]"
Bacillus subtilis str. 168,224308.0,1,[29497843]
Bacillus tequilensis,227866.0,1,[32424739]
Bacillus zhangzhouensis,1178540.0,1,[32617734]
Bacillus-Clostridium group,1239.0,1,[15252724]
Beta macrocarpa,343494.0,1,[26588061]
Beta macrocarpa Guss,343494.0,1,[26588061]
Bhargavaea,394098.0,1,[35190857]
Bhargavaea cecembensis,394098.0,1,[35190857]
Black Yeasts,34395.0,1,[29538737]
Black yeasts,34395.0,1,[29538737]
Brachybacterium paraconglomeratum,173362.0,1,[36149604]
Brassica oleracea var,3712.0,1,[31722266]
Brevibacillus choshinensis,54911.0,1,[31734848]
C. aquaticum,452084.0,1,[19888547]
C. coronopifolia,174445.0,1,[21555270]
C. jejuense,445960.0,1,[19888547]
C. maritima,220483.0,1,[31048216]
C. rosea,3825.0,4,"[35742848, 35052375, 34256694, 33925342]"
C. soldanellicola,311333.0,1,[19888547]
C. soli,445961.0,1,[19888547]
C. thermarum TA2.A1,986075.0,1,[37577439]
CATs,9685.0,1,[26859958]
CBS 119416,1052096.0,1,[31938738]
CICC 11012s,1930622.0,2,"[29270851, 33123748]"
Caenorhabditis elegans,6239.0,1,[31564490]
Cakile maritima,220483.0,1,[31048216]
Caldalkalibacillus thermarum TA2.A1,986075.0,2,"[37577439, 33030592]"
Caldalkalibacillus thermarum strain,986075.0,1,[33030592]
Caldanaerovirga acetigignens,447595.0,1,[19625440]
Canavalia rosea,3825.0,4,"[33925342, 34256694, 35052375, 35742848]"
Canavalia rosea (Sw.) DC,3825.0,1,[34256694]
Candida albicans,5476.0,1,[31938738]
Candidatus Heliomonas lunata,553978.0,1,[22588563]
Candidatus Heliomonas lunata',553978.0,1,[22588563]
Cellulomonas fimi,1708.0,1,[15999223]
Cellvibrio japonicus,155077.0,1,[15999223]
Chitinophaga pinensis,79329.0,1,[22052561]
Chlamydomonas sp. ICE-L,309537.0,1,[20373120]
Chloromonas nivalis,201319.0,1,[23625082]
Chryseobacterium,345663.0,1,[19888547]
Chryseobacterium aquaticum,452084.0,1,[19888547]
Chryseobacterium greenlandense,345663.0,1,[19888547]
Chryseobacterium jejuense,445960.0,1,[19888547]
Chryseobacterium soldanellicola,311333.0,1,[19888547]
Chryseobacterium soli,445961.0,1,[19888547]
Chthoniobacter flavus,191863.0,1,[37474779]
Chungangia koreensis,752657.0,1,[24817611]
Cladosporium,1052096.0,1,[31938738]
Cladosporium sp,1707700.0,1,[34228196]
Cloning,31851.0,1,[35137293]
Clostridium intestinale stra,1294142.0,1,[36094301]
Colletotrichum gloeosporioides f. sp. malvae,96478.0,1,[11354456]
Collophora,2011735.0,1,[27215207]
Collophora sp,2011735.0,1,[27215207]
Congregibacter litoralis,393662.0,1,[18385928]
Cotula coronopifolia,174445.0,1,[21555270]
Cryptococcus,1847937.0,1,[27215207]
Cryptococcus liquefaciens,104408.0,1,[17298474]
Cryptococcus sp. T11-10-1,1847937.0,1,[27215207]
Cryptococcus) friedmannii,89922.0,1,[30266724]
Curvularia lonarensis,1912045.0,1,[27920761]
Curvularia pseudorobusta,554547.0,1,[27920761]
Curvularia sp.,1715225.0,1,[27920761]
Cyanidioschyzon merolae,45157.0,1,[24726350]
D. acidophila,38272.0,1,[27484342]
D. alkaliphilus,427926.0,1,[37520367]
D. lacustre Z-7951,935942.0,1,[23881259]
D. maris,37915.0,1,[9783184]
D. radiodurans,1299.0,1,[20657662]
DSM 14871,159292.0,1,[12728359]
DY-A,221588.0,1,[12910392]
Deinococcus radiodurans,1299.0,1,[20657662]
Deinococcus radiodurans DSM 20539,1121384.0,1,[36000901]
Dermatocarpon polyphyllizum,172334.0,1,[30282060]
Desulfonatronovibrio,698827.0,1,[21479878]
Desulfonatronovibrio magnus,698827.0,1,[21479878]
Desulfonatronovibrio thiodismutans,617000.0,1,[21479878]
Desulfonatronum,617002.0,2,"[21479878, 23881259]"
Desulfonatronum buryatense,489971.0,1,[23881259]
Desulfonatronum thioautotrophicum,617001.0,1,[21479878]
Desulfonatronum thiodismutans,159290.0,1,[21605309]
Desulfonatronum thiosulfatophilum,617002.0,1,[21479878]
Desulfurispira natronophila,682562.0,1,[20407798]
Desulfurivibrio alkaliphilus,427923.0,1,[24030483]
Desulfurivibrio sp. AMeS2,1398908.0,1,[24030483]
Dethiobacter alkaliphilus,427926.0,2,"[24030483, 37520367]"
Dictyostelium discoideum,44689.0,1,[11878564]
Didymella glomerata,749621.0,1,[31938738]
Didymellaceae sp,1907517.0,1,[37029326]
Dietzia,161920.0,1,[9783184]
Dietzia maris,37915.0,1,[9783184]
Dietzia natronolimnaios,161920.0,1,[9783184]
Dietzia sp,1871616.0,1,[36031955]
Dunaliella acidophila,38272.0,1,[27484342]
E. albidus,6390.0,1,[29689924]
E. coli,562.0,16,"[36362210, 21894491, 32528424, 36000998, 31407121, 29932648, 38252174, 33123748, 24996797, 22327111, 24375141, 24297704, 36131073, 31734848, 24915287, 35137293]"
E. halophilus,251717.0,1,[34402982]
E. ivorense,53877.0,1,[30716444]
E. salsugineum,72664.0,1,[31481201]
E. sibiricum,332410.0,1,[18335164]
E. suaveolens,69058.0,1,[30716444]
E. thermarum,197648.0,1,[12910386]
EF43,133486.0,1,[11778838]
EGI 80432,1670830.0,1,[34402982]
Echinamoeba,197648.0,1,[12910386]
Echinamoeba thermarum,197648.0,1,[12910386]
Egicoccus halophilus,1670830.0,1,[34402982]
Enchytraeus,6390.0,1,[29689924]
Enchytraeus albidus,6390.0,1,[29689924]
Enchytraeus polatdemiri,2175851.0,1,[29689924]
Enrichment,1566338.0,1,[19536453]
Epicoccum nigrum,105696.0,1,[34228196]
Epicoccum sorghinum,749593.0,1,[31938738]
Erythrophleum ivorense,53877.0,1,[30716444]
Escherichia coli,562.0,21,"[24375141, 22327111, 33515353, 25450641, 31338597, 24297704, 11699647, 9783168, 24996797, 36131073, 17215355, 16601914, 26026992, 17006740, 31938738, 38252174, 30863668, 15844013, 29270851, 18048917, 26171779]"
Escherichia coli B,37762.0,1,[36000998]
Escherichia coli BL21(DE3),469008.0,1,[27209523]
Escherichia coli DH5alpha,668369.0,1,[35137293]
Euphrates poplar,75702.0,1,[35587636]
Eutrema salsugineum,72664.0,3,"[31481201, 25496221, 31781937]"
Exiguobacterium alkaliphilum,1428684.0,1,[38010865]
Exiguobacterium sibiricum,332410.0,1,[18335164]
Exiguobacterium sp. S17,856854.0,1,[30485446]
Exophiala sp. 15LV1,1550092.0,1,[30266724]
Exophiala sp. strai,1550092.0,1,[30266724]
Fibrobacter succinogenes,833.0,1,[15480866]
Filamentous anoxygenic phototrophic bacteria,1106.0,1,[26290358]
Fischerella sp,1191.0,1,[34545451]
G. daedala,178532.0,1,[29779132]
G. maxima,178533.0,1,[29779132]
G. sulphuraria,130081.0,1,[29779132]
G. thermoleovorans,33941.0,1,[34669438]
G. toebii,153151.0,1,[21461912]
G. toebii (strain,153151.0,1,[21461912]
Gaiella occulta,1002870.0,1,[37474779]
Galdieria phlegrea,1389228.0,1,[29779132]
Geobacillus,1334018.0,2,"[24287927, 34669438]"
Geobacillus sp,1891658.0,1,[31388592]
Geobacillus sp. 95,1334018.0,1,[24287927]
Geobacillus sp. st,1334018.0,1,[24287927]
Geobacillus thermoleovorans,33941.0,1,[34669438]
Geobacillus toebii,153151.0,1,[21461912]
Geodermatophilus obscurus,1861.0,1,[22359317]
Glaciozyma antarctica,105987.0,1,[32157393]
H. glaciei,186761.0,1,[12579380]
H. marismortui,2238.0,1,[17215355]
H. maura,117606.0,1,[29018969]
H. miurensis,306541.0,1,[22297696]
H. strobilaceum,239185.0,1,[35652980]
H. variabilis,31910.0,1,[12579380]
H. volcanii,2246.0,1,[21894491]
H. werneckii,91943.0,1,[17298474]
HB8,274.0,2,"[12072958, 22212656]"
HR10B,553427.0,1,[22588563]
Halalkalicoccus jeotgali,413810.0,1,[18097633]
Halanaeroarchaeum sulfurireducens,1604004.0,1,[33620581]
Halarsenatibacter silvermanii,321763.0,1,[19218420]
Haloarcula marismortui,2238.0,1,[17215355]
Haloarcula quadrata,182779.0,1,[21340748]
Halobacterium salinarum,2242.0,2,"[17406782, 12382117]"
Halobacterium volcanii,2246.0,1,[7908011]
Halocella cellulolytica,46467.0,1,[15480866]
Halocnemum strobilaceum,239185.0,1,[35652980]
Haloferax elongans,403191.0,1,[21340748]
Haloferax mediterranei,2252.0,1,[21340748]
Haloferax volcanii,2246.0,1,[21894491]
Halolactibacillus miurensis,306541.0,1,[22297696]
Halomonas,186761.0,3,"[12579380, 10741837, 11778838]"
Halomonas alkaliantarctica,232346.0,1,[20890499]
Halomonas alkalicola,1930622.0,2,"[33123748, 29270851]"
Halomonas aquamarina,77097.0,1,[26439615]
Halomonas campisalis,74661.0,1,[14572091]
Halomonas cupida,44933.0,1,[10741837]
Halomonas desiderata,52021.0,1,[10741837]
Halomonas elongata,2746.0,2,"[24297704, 10741837]"
Halomonas glaciei,186761.0,1,[12579380]
Halomonas halodenitrificans,28252.0,1,[10741837]
Halomonas magadii,150024.0,1,[10741837]
Halomonas maura,117606.0,1,[29018969]
Halomonas sp,1486246.0,4,"[31768644, 11778838, 36572161, 26439615]"
Halomonas sp. EF43,133486.0,1,[11778838]
Halomonas sp. Y2,408656.0,1,[27315164]
Halomonas zhaodongensis,1176240.0,1,[24996797]
Halonatronum saccharophilum,150060.0,1,[18378586]
Halorhabdus utahensis,146826.0,1,[19218420]
Halorhodospira halochloris,1052.0,1,[34310933]
Halovivax sp,1935978.0,1,[18097633]
Hedysarum multijugum,1402425.0,1,[35398716]
Heliorestis,553427.0,1,[22588563]
Heliorestis                         acidaminivorans,553427.0,1,[22588563]
Heliorestis acidaminivorans,553427.0,1,[22588563]
Hg2,2699479.0,2,"[37847305, 22260050]"
Holtermanniella wattica,207911.0,1,[30266724]
Holtermanniella watticus,207911.0,1,[30266724]
Homo sapiens,9606.0,1,[15999223]
Hordeum vulgare L,4513.0,1,[21974779]
Horseradish,3704.0,1,[29958498]
Hortaea werneckii,91943.0,1,[17298474]
Hypsibius dujardini,232323.0,1,[31624306]
JAMB-750,253629.0,1,[15999223]
K. polaris,136273.0,1,[24817611]
KSM-K16,66692.0,1,[17429572]
KSM-S237,109789.0,1,[9680321]
Ki4,489971.0,1,[23881259]
Ki5,489971.0,1,[23881259]
L. sativus,3860.0,1,[32050135]
LBB1,1188254.0,1,[37481751]
LGG,568703.0,1,[30701281]
LGG strain,568703.0,1,[30701281]
LMD-9,322159.0,1,[30701281]
LMG 22826,307486.0,1,[16215773]
Lactobacillus sp,1591.0,1,[29292148]
Lathyrus sativus,3860.0,1,[32050135]
Luteibacter sp,1886636.0,1,[32050135]
M. alcaliphilum,392018.0,1,[36260502]
M. aquaeolei str,351348.0,1,[15322951]
M. hydrocarbonoclasticus,2743.0,1,[15322951]
MLTeJB,632773.0,1,[19536453]
MS2,2710868.0,1,[33255932]
Magadi tilapia,40169.0,1,[26547282]
Mammoth,37349.0,1,[31606813]
Marinobacter,254719.0,1,[15322951]
Marinobacter alkaliphilus,254719.0,1,[15322951]
Marinomonas primoryensis,178399.0,1,[33090301]
Melghiribacillus thermohalophilus,1324956.0,1,[31236718]
Metagenomes,408169.0,1,[31592688]
Metapenaeus monoceros,1211424.0,1,[31236718]
Methanococcus aeolicus,42879.0,1,[23568449]
Methanomassiliicoccus luminyensis,1080712.0,1,[23568449]
Methanomethylovorans thermophila,286152.0,1,[23568449]
Methylobacter,271065.0,1,[10879559]
Methylobacter alcaliphilus,271065.0,1,[10879559]
Methylomicrobium,39776.0,1,[10879559]
Methylomicrobium alcaliphilum,271065.0,1,[24638260]
Methylomicrobium pelagicum,39776.0,1,[10879559]
Methyloversatilis universalis,378211.0,1,[23568449]
Microbacterium hominis,162426.0,1,[24817611]
Microcella alkaliphila,279828.0,1,[27240670]
Monascus ruber,89489.0,1,[27209523]
N. azotifigens,472978.0,1,[22297696]
N. benthamiana,4100.0,1,[36131073]
N. lacusekhoensis,150832.0,1,[28255636]
N. magadii,13769.0,1,[21894491]
N. thermophilus,375929.0,1,[21600188]
NEAU-ST10-25,1176240.0,1,[24996797]
NPST-AK15,1623497.0,1,[26159877]
Natranaerobius thermophilus,375929.0,2,"[18378586, 21600188]"
Natrialba magadii,13769.0,2,"[21894491, 22559199]"
Natrialba magadii ATCC 43099,547559.0,1,[22559199]
Natrinema sp,1917451.0,1,[18097633]
Natronobacillus azotifigens,472978.0,2,"[22297696, 18769867]"
Natronobacterium sp,1973140.0,1,[18097633]
Natronococcus sp,35747.0,1,[18097633]
Natronoincola histidinovorans,89959.0,1,[15480866]
Natronolimnobius 'aegyptiacus,745377.0,1,[21340748]
Natronolimnobius baerhuensis,253108.0,1,[15841343]
Natronolimnobius innermongolicus,253107.0,1,[15841343]
Natronolimnobius sp,2071605.0,1,[18097633]
Natronomonas pharaonis,2257.0,1,[20543878]
Natronomonas sp,2184060.0,1,[18097633]
Nesterenkonia lacusekhoensis,150832.0,1,[28255636]
Nesterenkonia sp. Act20,1483432.0,1,[30485446]
Nicotiana benthamiana,4100.0,1,[36131073]
Nocardiopsis sp. str,221582.0,1,[16601914]
OF4,398511.0,1,[20344941]
Oceanithermus profundus,187137.0,1,[38252174]
Ochrophyta,2696291.0,1,[38133826]
P-4-N,122089.0,2,"[11139081, 11354456]"
P. abyssi,29292.0,1,[9672687]
P. aeruginosa,287.0,1,[17027868]
P. arcticus,334543.0,1,[18335164]
P. chrysogenum,5076.0,1,[32157393]
P. crispa,173492.0,1,[28000023]
P. euphratica,75702.0,1,[35587636]
P. furiosus,2261.0,1,[9672687]
P. palitans,293373.0,1,[32157393]
P. pastoris GS115,644223.0,1,[29681022]
P. putida,303.0,1,[37474779]
P. salinarum,88271.0,1,[36937286]
Paenibacillus,1499968.0,1,[27771767]
Paenibacillus sp. TCA20,1499968.0,1,[27771767]
Panagrellus redivivus,6233.0,1,[27891113]
Pannonibacter phragmitetus,121719.0,1,[23568449]
Paracyclops chiltoni,2586190.0,1,[33933779]
Patescibacteria,1783273.0,1,[32525738]
Peganum harmala,43879.0,1,[35398716]
Penicillium,5081.0,2,"[32157393, 31938738]"
Penicillium atrovenetum,69764.0,1,[34228196]
Penicillium chrysogenum,5076.0,3,"[31938738, 38225962, 32157393]"
Penicillium citrinum,5077.0,1,[20703955]
Penicillium palitans,293373.0,1,[32157393]
Penicillium rubrum,1266769.0,1,[22295871]
Penicillium sp,5081.0,1,[34228196]
Petrotoga mobilis,69499.0,1,[27351338]
Phaeosphaeriaceae sp,1756107.0,1,[34228196]
Phoenix dactylifera L,42345.0,1,[26901506]
Pichia pastoris,4922.0,1,[29681022]
Picocystis,88271.0,1,[36937286]
Picocystis salinarum,88271.0,1,[36937286]
Planococcus halocryophilus,1005941.0,1,[36000998]
Planococcus plakortidis,1038856.0,1,[24817611]
Planococcus sp,1871321.0,1,[29497843]
Planococcus sp. CGMCC 8088,1704238.0,1,[29497843]
Polymorphum gilvum,991904.0,1,[23568449]
Populus euphratica,75702.0,1,[35587636]
Portunus segnis,470445.0,1,[31236718]
Potato,4113.0,1,[31938738]
Prasiola crispa,173492.0,1,[28000023]
Pseudoalteromonas,53249.0,1,[16133657]
Pseudoalteromonas sp,53249.0,1,[16133657]
Pseudomonas,221588.0,1,[12910392]
Pseudomonas aeruginosa,287.0,5,"[17027868, 26171779, 22830585, 31938738, 30304581]"
Pseudomonas aeruginosa PAO1,208964.0,1,[36094301]
Pseudomonas alcaliphila,101564.0,1,[24817611]
Pseudomonas fluorescens,294.0,1,[32050135]
Pseudomonas putida,303.0,1,[37474779]
Pseudomonas stra,221588.0,1,[12910392]
Pseudothermotoga thermarum,119394.0,1,[36362210]
Psychrobacter,56811.0,1,[32528424]
Psychrobacter arcticus,334543.0,1,[18335164]
Psychrobacter cryohalolentis,330922.0,1,[32418069]
Psychrobacter sp,56811.0,1,[32528424]
Pyrococcus,29292.0,1,[9672687]
Pyrococcus furiosus,2261.0,1,[9672687]
Pyrococcus horikoshii,53953.0,1,[9672687]
R. leguminosarum,384.0,1,[32050135]
R. nathaliae,656708.0,1,[37474779]
R. stricta,396313.0,1,[37667571]
Ramazzottius varieornatus,947166.0,1,[31624306]
Ramonda serbica,757438.0,1,[37474779]
Rh. mucilaginosa,5537.0,1,[17298474]
Rhazya stricta,396313.0,1,[37667571]
Rhizobium leguminosarum,384.0,1,[32050135]
Rhizobium) meliloti,382.0,1,[11057908]
Rhodobaca bogoriensis,119542.0,1,[37481751]
Rhodobaca bogoriensis stra,1188254.0,1,[37481751]
Rhodococcus sp. JG3,1305835.0,1,[32833498]
Rhodotorula dairenensis,86832.0,1,[32157393]
Rhodotorula mucilaginosa,5537.0,2,"[32157393, 17298474]"
Roseinatronobacter thiooxidans,121821.0,1,[10972192]
S. acidocaldarius,2285.0,1,[26791382]
S. islandicus,43080.0,1,[26791382]
S. macedonicus,59310.0,1,[30701281]
S. macedonicus ACA-DC-198,1116231.0,1,[30701281]
S. portulacastrum,221166.0,1,[27061088]
S. violacea,1936.0,1,[15844013]
SLAS-1,321763.0,1,[19218420]
Saccharomyces cerevisiae,4932.0,2,"[37367588, 9783169]"
Salinibacter ruber,146919.0,1,[18427718]
Salinivibrio sp,1886796.0,1,[28425950]
Schizophyllum commune,5334.0,1,[31938738]
Sesuvium portulacastrum,221166.0,1,[27061088]
Setaria viridis,4556.0,1,[35398716]
Shewanella violacea DSS12,637905.0,1,[15844013]
Sinorhizobium,382.0,1,[11057908]
Sodiomyces tronii,1525349.0,1,[28478604]
Solanum lycopersicum,4081.0,1,[26909467]
Sp. salmonicolor,5005.0,1,[27215207]
Sporidiobolus,454966.0,1,[27215207]
Sporidiobolus metaroseus,454966.0,1,[27215207]
Sporidiobolus salmonicolor,5005.0,1,[27215207]
Sporobolomyces,40563.0,1,[27215207]
Sporobolomyces roseus,40563.0,1,[27215207]
Staphylococcus arlettae,29378.0,1,[24455210]
Staphylococcus aureus,1280.0,2,"[30863668, 11057908]"
Strain Z,83561.0,1,[15127306]
Streptococcus macedonicus,59310.0,1,[30701281]
Streptomyces,1928.0,1,[11699647]
Streptomyces lividans TK24,457428.0,1,[33515353]
Streptomyces lopnurensis,1495572.0,1,[33404954]
Streptomyces rochei,1928.0,1,[11699647]
Streptomyces sp,1931.0,1,[27903085]
Streptomyces sp. strai,133452.0,1,[11699647]
Sulfolobus acidocaldarius,2285.0,1,[26791382]
Sulfolobus solfataricus,2287.0,1,[10741831]
Swiss chard,3555.0,1,[26588061]
T. acidophilum,2303.0,1,[16382574]
T. brockianus,56956.0,1,[12892493]
T. maritima,2336.0,1,[16708165]
T. roseum,500.0,1,[27896501]
T. salsuginea,72664.0,2,"[24214268, 25308761]"
T. scotoductus,37636.0,1,[30536130]
T. sediminis,392725.0,1,[38252174]
T. texcoconensis,361365.0,1,[16932842]
T. thermophilus HB8,300852.0,2,"[12072958, 22212656]"
T. wiegelii,46354.0,1,[11057912]
TA2.A1,986075.0,1,[33030592]
Tepidimonas,307486.0,1,[16215773]
Tepidimonas sediminis,2588941.0,1,[38252174]
Tepidimonas taiwanensis,307486.0,1,[16215773]
Thauera sp,1905334.0,1,[23568449]
Thelebolus balaustiformis,2072948.0,1,[32157393]
Thellungiella salsuginea,72664.0,3,"[24214268, 25308761, 25496221]"
Thermoanaerobacter sp,1755.0,1,[17673945]
Thermoanaerobacter wiegelii,46354.0,1,[11057912]
Thermobrachium celere,53422.0,1,[9783173]
Thermomicrobium roseum,500.0,1,[27896501]
Thermoplasma acidophilum,2303.0,1,[16382574]
Thermosediminibacter,291989.0,1,[19625440]
Thermosediminibacter litoriperuensis,291989.0,1,[19625440]
Thermosediminibacter oceani JW/IW-1228P,555079.0,1,[19625440]
Thermotoga maritima,2336.0,3,"[16708165, 7908011, 31338597]"
Thermotoga maritima MSB8,243274.0,2,"[26026992, 31338597]"
Thermotoga neapolitana,2337.0,1,[17006740]
Thermus,37636.0,1,[30536130]
Thermus brockianus,56956.0,1,[12892493]
Thermus parvatiensis,456163.0,1,[36721347]
Thermus scotoductus,37636.0,1,[30536130]
Thermus sp. 2.9,1577051.0,1,[32617733]
Thermus thermophilus,274.0,3,"[28764042, 12072958, 22212656]"
Thermus thermophilus HB27,262724.0,1,[25836039]
Thermus thermophilus HB8,300852.0,1,[22212656]
Thialkalivibrio,252474.0,1,[15309564]
Thialkalivibrio halophilus,252474.0,1,[15309564]
Thioalkalibacter halophilus,469656.0,1,[18309455]
Tindallia,159292.0,2,"[16932842, 12728359]"
Tindallia californiensis,159292.0,2,"[12728359, 16932842]"
Tindallia magadiensis,69895.0,1,[12728359]
Tindallia texcoconensis,361365.0,1,[16932842]
Tomato,4081.0,1,[26909467]
Torrubiella,2047592.0,1,[27215207]
Torrubiella sp,2047592.0,1,[27215207]
Trebouxia asymmetrica,13787.0,1,[23625082]
Trebouxia erici,60131.0,1,[23625082]
Trebouxia glomerata,174040.0,1,[23625082]
Triticum aestivum L,4565.0,1,[37474779]
Turkey,9103.0,3,"[29689924, 15959626, 29779132]"
VT8,351348.0,1,[15322951]
Variovorax sp,1871043.0,1,[32050135]
Vibrio cholerae,666.0,1,[24297704]
Vibrio parahaemolyticus,670.0,1,[24297704]
Vicinamibacter silvestris,1612172.0,1,[37474779]
Viscum schimperi,1874183.0,1,[38035483]
