PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30796503","Genomics of Alkaliphiles","Lebre PH, Cowan DA.","Adv Biochem Eng Biotechnol. 2020;172:135-155. doi: 10.1007/10_2018_83.","Lebre PH","Adv Biochem Eng Biotechnol","2020","2019/02/24","","","10.1007/10_2018_83"
"26733008","High-Up: A Remote Reservoir of Microbial Extremophiles in Central Andean Wetlands","Albarracín VH, Kurth D, Ordoñez OF, Belfiore C, Luccini E, Salum GM, Piacentini RD, Farías ME.","Front Microbiol. 2015 Dec 16;6:1404. doi: 10.3389/fmicb.2015.01404. eCollection 2015.","Albarracín VH","Front Microbiol","2015","2016/01/07","PMC4679917","","10.3389/fmicb.2015.01404"
"26647770","Forged Under the Sun: Life and Art of Extremophiles from Andean Lakes","Albarracín VH, Gärtner W, Farias ME.","Photochem Photobiol. 2016 Jan-Feb;92(1):14-28. doi: 10.1111/php.12555. Epub 2015 Dec 30.","Albarracín VH","Photochem Photobiol","2016","2015/12/10","","","10.1111/php.12555"
"37367588","Alkaliphilic/Alkali-Tolerant Fungi: Molecular, Biochemical, and Biotechnological Aspects","Fernández-López MG, Batista-García RA, Aréchiga-Carvajal ET.","J Fungi (Basel). 2023 Jun 9;9(6):652. doi: 10.3390/jof9060652.","Fernández-López MG","J Fungi (Basel)","2023","2023/06/27","PMC10301932","","10.3390/jof9060652"
"30796504","Isolation and Cultivation of Alkaliphiles","Kevbrin VV.","Adv Biochem Eng Biotechnol. 2020;172:53-84. doi: 10.1007/10_2018_84.","Kevbrin VV","Adv Biochem Eng Biotechnol","2020","2019/02/24","","","10.1007/10_2018_84"
"8688447","Respiratory chains of archaea and extremophiles","Schäfer G, Purschke WG, Gleissner M, Schmidt CL.","Biochim Biophys Acta. 1996 Jul 18;1275(1-2):16-20. doi: 10.1016/0005-2728(96)00043-6.","Schäfer G","Biochim Biophys Acta","1996","1996/07/18","","","10.1016/0005-2728(96)00043-6"
"31541933","Metal and organic pollutants bioremediation by extremophile microorganisms","Giovanella P, Vieira GAL, Ramos Otero IV, Pais Pellizzer E, de Jesus Fontes B, Sette LD.","J Hazard Mater. 2020 Jan 15;382:121024. doi: 10.1016/j.jhazmat.2019.121024. Epub 2019 Aug 17.","Giovanella P","J Hazard Mater","2020","2019/09/22","","","10.1016/j.jhazmat.2019.121024"
"35688350","Extremophilic lipases for industrial applications: A general review","Vivek K, Sandhia GS, Subramaniyan S.","Biotechnol Adv. 2022 Nov;60:108002. doi: 10.1016/j.biotechadv.2022.108002. Epub 2022 Jun 7.","Vivek K","Biotechnol Adv","2022","2022/06/10","","","10.1016/j.biotechadv.2022.108002"
"11809961","Antarctic Sea ice--a habitat for extremophiles","Thomas DN, Dieckmann GS.","Science. 2002 Jan 25;295(5555):641-4. doi: 10.1126/science.1063391.","Thomas DN","Science","2002","2002/01/26","","","10.1126/science.1063391"
"37317247","Investigating Bio-Inspired Degradation of Toxic Dyes Using Potential Multi-Enzyme Producing Extremophiles","Pham VHT, Kim J, Chang S, Bang D.","Microorganisms. 2023 May 12;11(5):1273. doi: 10.3390/microorganisms11051273.","Pham VHT","Microorganisms","2023","2023/06/15","PMC10223213","","10.3390/microorganisms11051273"
"33643258","Bioprospecting of Novel Extremozymes From Prokaryotes-The Advent of Culture-Independent Methods","Sysoev M, Grötzinger SW, Renn D, Eppinger J, Rueping M, Karan R.","Front Microbiol. 2021 Feb 10;12:630013. doi: 10.3389/fmicb.2021.630013. eCollection 2021.","Sysoev M","Front Microbiol","2021","2021/03/01","PMC7902512","","10.3389/fmicb.2021.630013"
"36307049","Archaeal lipolytic enzymes: Current developments and further prospects","Meghwanshi GK, Verma S, Srivastava V, Kumar R.","Biotechnol Adv. 2022 Dec;61:108054. doi: 10.1016/j.biotechadv.2022.108054. Epub 2022 Oct 26.","Meghwanshi GK","Biotechnol Adv","2022","2022/10/28","","","10.1016/j.biotechadv.2022.108054"
"9783173","Anaerobic alkalithermophiles, a novel group of extremophiles","Wiegel J.","Extremophiles. 1998 Aug;2(3):257-67. doi: 10.1007/s007920050068.","Wiegel J","Extremophiles","1998","1998/10/23","","","10.1007/s007920050068"
"9783164","Alkaline detergent enzymes from alkaliphiles: enzymatic properties, genetics, and structures","Ito S, Kobayashi T, Ara K, Ozaki K, Kawai S, Hatada Y.","Extremophiles. 1998 Aug;2(3):185-90. doi: 10.1007/s007920050059.","Ito S","Extremophiles","1998","1998/10/23","","","10.1007/s007920050059"
"31734456","Molecular dynamics in cells: A neutron view","Zaccai G.","Biochim Biophys Acta Gen Subj. 2020 Mar;1864(3):129475. doi: 10.1016/j.bbagen.2019.129475. Epub 2019 Nov 15.","Zaccai G","Biochim Biophys Acta Gen Subj","2020","2019/11/18","","","10.1016/j.bbagen.2019.129475"
"31273417","Challenges and Adaptations of Life in Alkaline Habitats","Mamo G.","Adv Biochem Eng Biotechnol. 2020;172:85-133. doi: 10.1007/10_2019_97.","Mamo G","Adv Biochem Eng Biotechnol","2020","2019/07/06","","","10.1007/10_2019_97"
"37046169","A comprehensive review on chromium (Cr) contamination and Cr(VI)-resistant extremophiles in diverse extreme environments","Rahman Z, Thomas L, Chetri SPK, Bodhankar S, Kumar V, Naidu R.","Environ Sci Pollut Res Int. 2023 May;30(21):59163-59193. doi: 10.1007/s11356-023-26624-y. Epub 2023 Apr 13.","Rahman Z","Environ Sci Pollut Res Int","2023","2023/04/12","","","10.1007/s11356-023-26624-y"
"29392527","Lithobiontic life: ""Atacama rocks are well and alive""","Gómez-Silva B.","Antonie Van Leeuwenhoek. 2018 Aug;111(8):1333-1343. doi: 10.1007/s10482-018-1033-9. Epub 2018 Feb 1.","Gómez-Silva B","Antonie Van Leeuwenhoek","2018","2018/02/03","","","10.1007/s10482-018-1033-9"
"33538376","Carbohydrate-dependent sulfur respiration in halo(alkali)philic archaea","Sorokin DY, Messina E, Smedile F, La Cono V, Hallsworth JE, Yakimov MM.","Environ Microbiol. 2021 Jul;23(7):3789-3808. doi: 10.1111/1462-2920.15421. Epub 2021 Feb 22.","Sorokin DY","Environ Microbiol","2021","2021/02/04","","","10.1111/1462-2920.15421"
"37839067","Extremophilic microbial metabolism and radioactive waste disposal","Butterworth SJ, Barton F, Lloyd JR.","Extremophiles. 2023 Oct 15;27(3):27. doi: 10.1007/s00792-023-01312-4.","Butterworth SJ","Extremophiles","2023","2023/10/15","PMC10577106","","10.1007/s00792-023-01312-4"
"9680303","Alkaline cellulases from alkaliphilic Bacillus: enzymatic properties, genetics, and application to detergents","Ito S.","Extremophiles. 1997 May;1(2):61-6. doi: 10.1007/s007920050015.","Ito S","Extremophiles","1997","1997/05/01","","","10.1007/s007920050015"
"34402982","Transcriptomic responses of haloalkalitolerant bacterium Egicoccus halophilus EGI 80432(T) to highly alkaline stress","Chen DD, Ahmad M, Liu YH, Wang S, Liu BB, Guo SX, Jiang HC, Shu WS, Li WJ.","Extremophiles. 2021 Nov;25(5-6):459-470. doi: 10.1007/s00792-021-01239-8. Epub 2021 Aug 17.","Chen DD","Extremophiles","2021","2021/08/17","","","10.1007/s00792-021-01239-8"
"23686381","An extremophile Microbacterium strain and its protease production under alkaline conditions","Lü J, Wu X, Jiang Y, Cai X, Huang L, Yang Y, Wang H, Zeng A, Li A.","J Basic Microbiol. 2014 May;54(5):378-85. doi: 10.1002/jobm.201200553. Epub 2013 May 17.","Lü J","J Basic Microbiol","2014","2013/05/21","","","10.1002/jobm.201200553"
"11234023","Life in extreme environments","Rothschild LJ, Mancinelli RL.","Nature. 2001 Feb 22;409(6823):1092-101. doi: 10.1038/35059215.","Rothschild LJ","Nature","2001","2001/03/10","","","10.1038/35059215"
"36031955","The evolution of alkaliphilic biofilm communities in response to extreme alkaline pH values","Charles CJ, Rout SP, Jackson BR, Boxall SA, Akbar S, Humphreys PN.","Microbiologyopen. 2022 Aug;11(4):e1309. doi: 10.1002/mbo3.1309.","Charles CJ","Microbiologyopen","2022","2022/08/29","PMC9380404","","10.1002/mbo3.1309"
"26025020","Adaptive strategies in the double-extremophilic prokaryotes inhabiting soda lakes","Banciu HL, Muntyan MS.","Curr Opin Microbiol. 2015 Jun;25:73-9. doi: 10.1016/j.mib.2015.05.003. Epub 2015 May 27.","Banciu HL","Curr Opin Microbiol","2015","2015/05/31","","","10.1016/j.mib.2015.05.003"
"33123748","Mechanism of TonB-dependent transport system in Halomonas alkalicola CICC 11012s in response to alkaline stress","Zhai L, Xie J, Feng H, Sun S, Cheng K, Yao S.","Extremophiles. 2021 Jan;25(1):39-49. doi: 10.1007/s00792-020-01209-6. Epub 2020 Oct 30.","Zhai L","Extremophiles","2021","2020/10/30","","","10.1007/s00792-020-01209-6"
"29538737","Black yeasts in the omics era: Achievements and challenges","Moreno LF, Vicente VA, de Hoog S.","Med Mycol. 2018 Apr 1;56(suppl_1):32-41. doi: 10.1093/mmy/myx129.","Moreno LF","Med Mycol","2018","2018/03/15","","","10.1093/mmy/myx129"
"27362528","Alkaline bioleaching of municipal solid waste incineration fly ash by autochthonous extremophiles","Ramanathan T, Ting YP.","Chemosphere. 2016 Oct;160:54-61. doi: 10.1016/j.chemosphere.2016.06.055. Epub 2016 Jun 27.","Ramanathan T","Chemosphere","2016","2016/07/01","","","10.1016/j.chemosphere.2016.06.055"
"31388592","Low molecular weight alkaline thermostable α-amylase from Geobacillus sp. nov","Febriani, Rayyana, Ulya M, Oesman F, Akhmaloka, Iqbalsyah TM.","Heliyon. 2019 Jul 29;5(7):e02171. doi: 10.1016/j.heliyon.2019.e02171. eCollection 2019 Jul.","Febriani","Heliyon","2019","2019/08/08","PMC6667821","","10.1016/j.heliyon.2019.e02171"
"21340748","Temperature and pH optima of extremely halophilic archaea: a mini-review","Bowers KJ, Wiegel J.","Extremophiles. 2011 Mar;15(2):119-28. doi: 10.1007/s00792-010-0347-y. Epub 2011 Feb 22.","Bowers KJ","Extremophiles","2011","2011/02/23","","","10.1007/s00792-010-0347-y"
"25443670","Extremophilic micro-algae and their potential contribution in biotechnology","Varshney P, Mikulic P, Vonshak A, Beardall J, Wangikar PP.","Bioresour Technol. 2015 May;184:363-372. doi: 10.1016/j.biortech.2014.11.040. Epub 2014 Nov 15.","Varshney P","Bioresour Technol","2015","2014/12/03","","","10.1016/j.biortech.2014.11.040"
"28737704","Toxicity at the Edge of Life: A Review on Cyanobacterial Toxins from Extreme Environments","Cirés S, Casero MC, Quesada A.","Mar Drugs. 2017 Jul 24;15(7):233. doi: 10.3390/md15070233.","Cirés S","Mar Drugs","2017","2017/07/25","PMC5532675","","10.3390/md15070233"
"16514512","Bioremediation of hydrocarbon-contaminated polar soils","Aislabie J, Saul DJ, Foght JM.","Extremophiles. 2006 Jun;10(3):171-9. doi: 10.1007/s00792-005-0498-4. Epub 2006 Mar 3.","Aislabie J","Extremophiles","2006","2006/03/04","","","10.1007/s00792-005-0498-4"
"31087781","Mimicking the Ice Recrystallization Activity of Biological Antifreezes. When is a New Polymer ""Active""?","Biggs CI, Stubbs C, Graham B, Fayter AER, Hasan M, Gibson MI.","Macromol Biosci. 2019 Jul;19(7):e1900082. doi: 10.1002/mabi.201900082. Epub 2019 May 14.","Biggs CI","Macromol Biosci","2019","2019/05/16","PMC6828557","EMS84735","10.1002/mabi.201900082"
"34458243","Extremophilic Oxidoreductases for the Industry: Five Successful Examples With Promising Projections","Espina G, Atalah J, Blamey JM.","Front Bioeng Biotechnol. 2021 Aug 12;9:710035. doi: 10.3389/fbioe.2021.710035. eCollection 2021.","Espina G","Front Bioeng Biotechnol","2021","2021/08/30","PMC8387880","","10.3389/fbioe.2021.710035"
"31734848","Expression, Folding, and Activation of Halophilic Alkaline Phosphatase in Non-Halophilic Brevibacillus choshinensis","Laksmi FA, Imamura H, Tsurumaru H, Nakamura Y, Hanagata H, Arai S, Tokunaga M, Ishibashi M.","Protein J. 2020 Feb;39(1):46-53. doi: 10.1007/s10930-019-09874-z.","Laksmi FA","Protein J","2020","2019/11/18","","","10.1007/s10930-019-09874-z"
"27771767","Nonconventional cation-coupled flagellar motors derived from the alkaliphilic Bacillus and Paenibacillus species","Ito M, Takahashi Y.","Extremophiles. 2017 Jan;21(1):3-14. doi: 10.1007/s00792-016-0886-y. Epub 2016 Oct 22.","Ito M","Extremophiles","2017","2016/10/25","","","10.1007/s00792-016-0886-y"
"37847305","Properties of the extracellular alkaline inulinase produced by haloalkaliphilic phototrophic bacteria Ectothiorodospirea mobilis","Markosyan L, Vardanyan A.","Extremophiles. 2023 Oct 17;27(3):29. doi: 10.1007/s00792-023-01315-1.","Markosyan L","Extremophiles","2023","2023/10/17","","","10.1007/s00792-023-01315-1"
"23065059","Distribution of CO(2) fixation and acetate mineralization pathways in microorganisms from extremophilic anaerobic biotopes","Montoya L, Celis LB, Razo-Flores E, Alpuche-Solís AG.","Extremophiles. 2012 Nov;16(6):805-17. doi: 10.1007/s00792-012-0487-3. Epub 2012 Oct 12.","Montoya L","Extremophiles","2012","2012/10/16","","","10.1007/s00792-012-0487-3"
"9783165","Microbial diversity of soda lakes","Jones BE, Grant WD, Duckworth AW, Owenson GG.","Extremophiles. 1998 Aug;2(3):191-200. doi: 10.1007/s007920050060.","Jones BE","Extremophiles","1998","1998/10/23","","","10.1007/s007920050060"
"37982082","Halo-alkaliphilic microbes as an effective tool for heavy metal pollution abatement and resource recovery: challenges and future prospects","Varshney S, Bhattacharya A, Gupta A.","3 Biotech. 2023 Dec;13(12):400. doi: 10.1007/s13205-023-03807-5. Epub 2023 Nov 15.","Varshney S","3 Biotech","2023","2023/11/20","PMC10651602","","10.1007/s13205-023-03807-5"
"18706678","Wetland treatment at extremes of pH: a review","Mayes WM, Batty LC, Younger PL, Jarvis AP, Kõiv M, Vohla C, Mander U.","Sci Total Environ. 2009 Jun 15;407(13):3944-57. doi: 10.1016/j.scitotenv.2008.06.045. Epub 2008 Aug 15.","Mayes WM","Sci Total Environ","2009","2008/08/19","","","10.1016/j.scitotenv.2008.06.045"
"18378586","Life at extreme limits: the anaerobic halophilic alkalithermophiles","Mesbah NM, Wiegel J.","Ann N Y Acad Sci. 2008 Mar;1125:44-57. doi: 10.1196/annals.1419.028.","Mesbah NM","Ann N Y Acad Sci","2008","2008/04/02","","","10.1196/annals.1419.028"
"9783163","Thermozymes: biotechnology and structure-function relationships","Zeikus JG, Vieille C, Savchenko A.","Extremophiles. 1998 Aug;2(3):179-83. doi: 10.1007/s007920050058.","Zeikus JG","Extremophiles","1998","1998/10/23","","","10.1007/s007920050058"
"32617734","Biochemical characterization of an alkaline surfactant-stable keratinase from a new keratinase producer, Bacillus zhangzhouensis","Moridshahi R, Bahreini M, Sharifmoghaddam M, Asoodeh A.","Extremophiles. 2020 Sep;24(5):693-704. doi: 10.1007/s00792-020-01187-9. Epub 2020 Jul 2.","Moridshahi R","Extremophiles","2020","2020/07/04","","","10.1007/s00792-020-01187-9"
"11057908","The Na+/H+ antiporter of alkaliphilic Bacillus sp","Kitada M, Kosono S, Kudo T.","Extremophiles. 2000 Oct;4(5):253-8. doi: 10.1007/s007920070010.","Kitada M","Extremophiles","2000","2000/11/01","","","10.1007/s007920070010"
"36916005","TMAO: Protecting proteins from feeling the heat","Boob MM, Sukenik S, Gruebele M, Pogorelov TV.","Biophys J. 2023 Apr 4;122(7):1414-1422. doi: 10.1016/j.bpj.2023.03.008. Epub 2023 Mar 13.","Boob MM","Biophys J","2023","2023/03/14","PMC10111349","","10.1016/j.bpj.2023.03.008"
"29857102","Operative utility of salt-stable proteases of halophilic and halotolerant bacteria in the biotechnology sector","Mokashe N, Chaudhari B, Patil U.","Int J Biol Macromol. 2018 Oct 1;117:493-522. doi: 10.1016/j.ijbiomac.2018.05.217. Epub 2018 May 30.","Mokashe N","Int J Biol Macromol","2018","2018/06/02","","","10.1016/j.ijbiomac.2018.05.217"
"28418707","Liquid Water Restricts Habitability in Extreme Deserts","Cockell CS, Brown S, Landenmark H, Samuels T, Siddall R, Wadsworth J.","Astrobiology. 2017 Apr;17(4):309-318. doi: 10.1089/ast.2016.1580.","Cockell CS","Astrobiology","2017","2017/04/19","","","10.1089/ast.2016.1580"
"30888506","Alkaline soda Lake Velika Rusanda (Serbia): the first insight into diatom diversity of this extreme saline lake","Vidaković D, Krizmanić J, Dojčinović BP, Pantelić A, Gavrilović B, Živanović M, Novaković B, Ćirić M.","Extremophiles. 2019 May;23(3):347-357. doi: 10.1007/s00792-019-01088-6. Epub 2019 Mar 19.","Vidaković D","Extremophiles","2019","2019/03/20","","","10.1007/s00792-019-01088-6"
"36260502","Methanobacterium alkalithermotolerans sp. nov., a novel alkaliphilic and hydrogen-utilizing methanogen isolated from an alkaline geothermal spring (La Crouen, New Caledonia)","Mei N, Postec A, Bartoli M, Vandecasteele C, Wils L, Gil L, Monnin C, Pelletier B, Erauso G, Quéméneur M.","Int J Syst Evol Microbiol. 2022 Oct;72(10). doi: 10.1099/ijsem.0.005554.","Mei N","Int J Syst Evol Microbiol","2022","2022/10/19","","","10.1099/ijsem.0.005554"
"35398716","Leaf physiological traits of plants from the Qinghai-Tibet Plateau and other arid sites in China: Identifying susceptible species and well-adapted extremophiles","Flexas J, Zhang Y, Gulías J, Xiong D, Carriquí M, Baraza E, Du T, Lei Z, Meng H, Dou H, Ribas-Carbo M, Xiang D, Xu W.","J Plant Physiol. 2022 May;272:153689. doi: 10.1016/j.jplph.2022.153689. Epub 2022 Mar 31.","Flexas J","J Plant Physiol","2022","2022/04/10","","","10.1016/j.jplph.2022.153689"
"24846742","Bacterial colonization of a fumigated alkaline saline soil","Bello-López JM, Domínguez-Mendoza CA, de León-Lorenzana AS, Delgado-Balbuena L, Navarro-Noya YE, Gómez-Acata S, Rodríguez-Valentín A, Ruíz-Valdiviezo VM, Luna-Guido M, Verhulst N, Govaerts B, Dendooven L.","Extremophiles. 2014 Jul;18(4):733-43. doi: 10.1007/s00792-014-0653-x. Epub 2014 May 21.","Bello-López JM","Extremophiles","2014","2014/05/22","","","10.1007/s00792-014-0653-x"
"36414646","Adaptations of endolithic communities to abrupt environmental changes in a hyper-arid desert","Perez-Fernandez CA, Wilburn P, Davila A, DiRuggiero J.","Sci Rep. 2022 Nov 21;12(1):20022. doi: 10.1038/s41598-022-23437-w.","Perez-Fernandez CA","Sci Rep","2022","2022/11/22","PMC9681764","","10.1038/s41598-022-23437-w"
"27900683","Constructing and Screening a Metagenomic Library of a Cold and Alkaline Extreme Environment","Glaring MA, Vester JK, Stougaard P.","Methods Mol Biol. 2017;1539:43-55. doi: 10.1007/978-1-4939-6691-2_4.","Glaring MA","Methods Mol Biol","2017","2016/12/01","","","10.1007/978-1-4939-6691-2_4"
"26090360","Alkaliphilic Bacteria with Impact on Industrial Applications, Concepts of Early Life Forms, and Bioenergetics of ATP Synthesis","Preiss L, Hicks DB, Suzuki S, Meier T, Krulwich TA.","Front Bioeng Biotechnol. 2015 Jun 3;3:75. doi: 10.3389/fbioe.2015.00075. eCollection 2015.","Preiss L","Front Bioeng Biotechnol","2015","2015/06/20","PMC4453477","","10.3389/fbioe.2015.00075"
"27240670","A high-molecular-weight, alkaline, and thermostable β-1,4-xylanase of a subseafloor Microcella alkaliphila","Kuramochi K, Uchimura K, Kurata A, Kobayashi T, Hirose Y, Miura T, Kishimoto N, Usami R, Horikoshi K.","Extremophiles. 2016 Jul;20(4):471-8. doi: 10.1007/s00792-016-0837-7. Epub 2016 May 30.","Kuramochi K","Extremophiles","2016","2016/06/01","","","10.1007/s00792-016-0837-7"
"24414409","Ecology and habitats of extremophiles","Kristjánsson JK, Hreggvidsson GO.","World J Microbiol Biotechnol. 1995 Jan;11(1):17-25. doi: 10.1007/BF00339134.","Kristjánsson JK","World J Microbiol Biotechnol","1995","2014/01/14","","","10.1007/BF00339134"
"29270851","Genome sequencing and heterologous expression of antiporters reveal alkaline response mechanisms of Halomonas alkalicola","Zhai L, Xie J, Lin Y, Cheng K, Wang L, Yue F, Guo J, Liu J, Yao S.","Extremophiles. 2018 Mar;22(2):221-231. doi: 10.1007/s00792-017-0991-6. Epub 2017 Dec 21.","Zhai L","Extremophiles","2018","2017/12/23","","","10.1007/s00792-017-0991-6"
"20640865","Can zoosporic true fungi grow or survive in extreme or stressful environments?","Gleason FH, Schmidt SK, Marano AV.","Extremophiles. 2010 Sep;14(5):417-25. doi: 10.1007/s00792-010-0323-6. Epub 2010 Jul 18.","Gleason FH","Extremophiles","2010","2010/07/20","","","10.1007/s00792-010-0323-6"
"33819431","Water Activities of Acid Brine Lakes Approach the Limit for Life","Benison KC, O'Neill WK, Blain D, Hallsworth JE.","Astrobiology. 2021 Jun;21(6):729-740. doi: 10.1089/ast.2020.2334. Epub 2021 Apr 5.","Benison KC","Astrobiology","2021","2021/04/05","PMC8219186","","10.1089/ast.2020.2334"
"36581887","Tailor-made alkaliphilic and thermostable fungal laccases for industrial wood processing","Rodríguez-Escribano D, Pliego-Magán R, de Salas F, Aza P, Gentili P, Ihalainen P, Levée T, Meyer V, Petit-Conil M, Tapin-Lingua S, Lecourt M, Camarero S.","Biotechnol Biofuels Bioprod. 2022 Dec 29;15(1):149. doi: 10.1186/s13068-022-02247-2.","Rodríguez-Escribano D","Biotechnol Biofuels Bioprod","2022","2022/12/29","PMC9798632","","10.1186/s13068-022-02247-2"
"21605309","Isolation of obligately alkaliphilic magnetotactic bacteria from extremely alkaline environments","Lefèvre CT, Frankel RB, Pósfai M, Prozorov T, Bazylinski DA.","Environ Microbiol. 2011 Aug;13(8):2342-50. doi: 10.1111/j.1462-2920.2011.02505.x. Epub 2011 May 23.","Lefèvre CT","Environ Microbiol","2011","2011/05/25","","","10.1111/j.1462-2920.2011.02505.x"
"34545451","Growth and photosynthesis acclimated response of the cyanobacterium Fischerella sp. FS 18 exposed to extreme conditions: alkaline pH, limited irradiance, and carbon dioxide concentration","Shokravi S, Bahavar N.","Extremophiles. 2021 Nov;25(5-6):493-500. doi: 10.1007/s00792-021-01244-x. Epub 2021 Sep 20.","Shokravi S","Extremophiles","2021","2021/09/21","","","10.1007/s00792-021-01244-x"
"33925342","Genome-Wide Analysis of the Late Embryogenesis Abundant (LEA) and Abscisic Acid-, Stress-, and Ripening-Induced (ASR) Gene Superfamily from Canavalia rosea and Their Roles in Salinity/Alkaline and Drought Tolerance","Lin R, Zou T, Mei Q, Wang Z, Zhang M, Jian S.","Int J Mol Sci. 2021 Apr 27;22(9):4554. doi: 10.3390/ijms22094554.","Lin R","Int J Mol Sci","2021","2021/04/30","PMC8123667","","10.3390/ijms22094554"
"33208066","Biosynthesis and Characterization of a Novel Fibrinolytic Alkaline Serine Protease from Newly Isolated Bacillus flexus BF12 for Biomedical Applications","Raj TS, Athimoolam S, Vijayaraghavan P.","Curr Pharm Biotechnol. 2021;22(5):706-717. doi: 10.2174/1389201021666201117094714.","Raj TS","Curr Pharm Biotechnol","2021","2020/11/19","","","10.2174/1389201021666201117094714"
"9783168","pH homeostasis and ATP synthesis: studies of two processes that necessitate inward proton translocation in extremely alkaliphilic Bacillus species","Krulwich TA, Ito M, Hicks DB, Gilmour R, Guffanti AA.","Extremophiles. 1998 Aug;2(3):217-22. doi: 10.1007/s007920050063.","Krulwich TA","Extremophiles","1998","1998/10/23","","","10.1007/s007920050063"
"34669438","Isolation and Characterization of Lignocellulose-Degrading Geobacillus thermoleovorans from Yellowstone National Park","Meslé MM, Mueller RC, Peach J, Eilers B, Tripet BP, Bothner B, Copié V, Peyton BM.","Appl Environ Microbiol. 2022 Jan 11;88(1):e0095821. doi: 10.1128/AEM.00958-21. Epub 2021 Oct 20.","Meslé MM","Appl Environ Microbiol","2022","2021/10/20","PMC8752141","","10.1128/AEM.00958-21"
"32617733","Fast decolorization of azo dyes in alkaline solutions by a thermostable metal-tolerant bacterial laccase and proposed degradation pathways","Navas LE, Carballo R, Levin L, Berretta MF.","Extremophiles. 2020 Sep;24(5):705-719. doi: 10.1007/s00792-020-01186-w. Epub 2020 Jul 2.","Navas LE","Extremophiles","2020","2020/07/04","","","10.1007/s00792-020-01186-w"
