Diseases,DiseasesID,Length,PMID
extremophilic oxidoreductases,D054882,1,[34458243]
extremophilic proteins,D018455,1,[7908011]
fascinating alkaliphiles' pH homeostasis,D010677,1,[31273417]
fitness,D012640,3,"[33404954, 37520367, 17298474]"
flagellar rotation,D009069,1,[27771767]
fragile habitats,D005600,1,[30888506]
genus Alcolapia,D056304 ,2,"[36250323, 26547282]"
genus Curvularia,D056304,1,[27920761]
genus Ralstonia,D056304,1,[18427718]
glucose metabolism,D044882 ,1,[36937286]
hallmarks linking alkaliphilic bacteria,D053632 ,1,[33030592]
halo(alkali)philic archaea,D006934 ,1,[33538376]
halo(natrono)archaea,D055882 ,1,[33538376]
halo-alkaliphilic microbes,D055882 ,1,[37982082]
haloalkaliphile's metabolism,D008659,1,[20543878]
haloalkaliphilic actinomycete,D000193 ,1,[33404954]
haloalkaliphilic bacteria,C537702,4,"[32323057, 33799130, 24030483, 16491340]"
haloalkaliphilic organisms,D019965,1,[26025020]
haloalkaliphilic phototrophic bacteria Ectothiorhodospirea,C537702,1,[37847305]
haloalkaliphilic phototrophic bacteria Ectothiorodospirea,C537702 ,1,[37847305]
haloalkaliphilic sulfur-reducing bacterium Desulfurispirillum alkaliphilum,C564972,1,[20407798]
halophilic/psychrophilic bacteria,C537702,1,[32833498]
halotolerant fungus Aspergillus glaucus CCHA,D001228,1,[29681022]
hyper-alkaline,D053306,1,[22350256]
hyper-thermostability,D053306,1,[33515353]
hyperosmolar stress,D000079225,1,[38252174]
hyperosmotic conditions,D000071069,1,[36937286]
hypersaline anoxic habitats,D002534,1,[33538376]
hypertrophic,D006984,1,[28389755]
hypertrophic condition,D000071069 ,1,[28389755]
infected branch,D007239 ,1,[38035483]
infection,D007239,2,"[38035483, 36721347]"
infectious diseases,D003141,1,[36094301]
insufficiency,D000309,1,[36572161]
ischemic heart disease,D003324 ,1,[33208066]
leukemia,D007938 ,1,[22295871]
leukemia cancer,D009369 ,1,[22295871]
low toxicity,D009800 ,1,[34458243]
migraine,D008881,1,[12932132]
motile pleomorphic flats,D015835,1,[15841343]
neutrophilic haloarchaea,C564275 ,1,[33538376]
neutrophilic heliobacteria,C564275,1,[22588563]
new alkaliphilic,C000657245,1,[36581887]
novel alkaliphilic bacillus,C000657245 ,1,[18401746]
novel alkaliphilic organotrophic,C000657245,1,[10741837]
novel haloalkaliphilic archaea,C000657245 ,1,[15841343]
osmotic stress,D000079225,1,[25308761]
osmotic stresses,D000079225 ,1,[35742848]
osteoporosis,D010024,1,[30400922]
ovarian cancer,D010051 ,1,[16808526]
pH-Stress,D000079225 ,1,[26859958]
paralytic,D007418 ,1,[28737704]
permanently cold,D003638,2,"[27900683, 16770690]"
pressurization,D006973,1,[15844013]
psychrotolerant species of Cyanobacteria,C564159,1,[26045157]
radiation damage,D011832 ,1,[28418707]
rheumatic disorders,D012216,1,[36000901]
rigidity,D009127,1,[27278384]
rosea to abiotic stresses,D000079225,1,[35742848]
shock,D012769 ,3,"[35742848, 38252174, 20373120]"
shock proteins,D012769 ,1,[38252174]
stress,D000079225,11,"[33643258, 34402982, 23686381, 28418707, 33925342, 38285274, 24281914, 35052375, 35742848, 25308761, 22583823]"
stresses,D000079225 ,3,"[30897508, 30457468, 38252174]"
stroke,D020521 ,1,[33208066]
subcutaneous infection,D007239 ,1,[29538737]
synchrotron radiation circular dichroism,D011832 ,1,[27351338]
tolerant alkaliphilic,D018149 ,1,[22327111]
tolerant alkaliphilic actinomycetes,D000193,1,[22327111]
toxicity,D064420,5,"[37317247, 29932648, 14572091, 27061088, 17673945]"
toxicity symptoms,D051271,1,[27061088]
turnover of dead organic matter,D001926 ,1,[27871132]
vacuolar H,C536522,1,[9783169]
vacuolar pH,C536522 ,1,[9783169]
vasa deferentia,C535984,1,[29689924]
vascular disease,D000783 ,1,[33208066]
water deficit stress,D003681,1,[31048216]
water deficits,D000069578,1,[25496221]
