"Chemicals","ChemicalsID","PMID","PMCID","Sentences"
"Mg","D008274",26242906,4618613," The lake water is brackish, alkaline, unpolluted, and abundant in SO42− and Mg2+. The lacustrine ecosystem of Lake Sayram has been intensely investigated.;  The lake water was clean, NO3− type, phosphorus-limited and abundant in SO42−, Cl−, and Mg2+. The average CODCr (COD) was lower than 1 mg/L.;  Mg2+ was an abundant cation in the lake water, with a concentration ranging from 0.36 to 0.38 g/L across all the sampling sites.;  Content of sulfate and the total hardness conferred by Mg2+ and Ca2+ met the requirements of Grade 3."
"water","D014867",28045976,5207672,"This study describes, for the first time, the water chemistry and microbial diversity in Dziani Dzaha, a tropical crater lake located on Mayotte Island (Comoros archipelago, Western Indian Ocean).;  The lake water had a high level of dissolved matter and high alkalinity (10.6–14.5 g L-1 eq.;  CO32-, i.e. 160–220 mM compare to around 2–2.5 in seawater), with salinity up to 52 psu, 1.5 higher than seawater.;  Hierarchical clustering discriminated Dziani Dzaha water from other alkaline, saline lakes, highlighting its thalassohaline nature.;  Throughout the whole water column the photosynthetic biomass was dominated (>97% of total biovolume) by the filamentous cyanobacteria Arthrospira sp. with a straight morphotype.;  Heterotrophic bacterioplankton was extremely abundant, with cell densities up to 1.5 108 cells mL-1 in the whole water column.;  The water chemistry of Dziani Dzaha Lake supports the hypothesis that it was derived from seawater and strongly modified by geological conditions and microbial activities that increased the alkalinity.; Saline inland waters often provide model ecosystems for studying microbial ecology, addressing numerous fundamental questions ranging from microbial diversity to the limits of life in extreme environments [1, 2]. Most saline lakes are endorheic inland water bodies and, as the dissolved mineral composition originates from the evaporation of continental water, are classified as athalassohaline environments [3], from the ancient Greek Θάλασσα (ocean) and άλας (salt), with the α-privative prefix a- (not).;  Such environments are found throughout the world, for example, in the Africa Rift Valley, in Central Asia, in the North American Desert, on the Andean Plateau and in Southern Australia [4]. However, few studies have been carried out into continental thalassohaline systems, where water is allegedly of marine origin and which are mainly found in coastal lagoons, salterns and permanently landlocked systems with hardly any exchange with the sea.; In freshwaters, very high microbial densities and metabolic rates are usually transient and linked to bloom events, occasionally related to nutrient inputs [12, 13], whereas saline and alkaline lakes have permanently high biomass and production rates [11, 14, 15]. Saline and alkaline lakes are, therefore, considered to be among the most productive aquatic systems on Earth [16]. For example, the saline lakes in the Rift Valley harbor high biomasses of cyanobacteria belonging to the genus Arthrospira, with a transient dominance of diatoms or chlorophytes (e.g.; Dziani Dzaha Lake (Mayotte, Western Indian Ocean) has permanent green salty water, with occasional gas bubbling, stromatolites on the lake shore, a complete absence of large organisms and is close (0.1 km) to the Indian Ocean, making this lake a very interesting environment for aquatic microbial ecology studies.;  A chemical analysis was undertaken to determine whether the origin of the lake water was athalassohaline or thalassohaline and the results were compared with those from other inland saline aquatic systems.; Field permit was granted by: Conservatoire du Littoral et des Rivages Lacustres, Antenne Océan Indien, since Dziani Dzaha is currently a protected water body with free public access but restricted activities, under the control of the French agency for littoral ecosystems conservation (http://www.conservatoire-du-littoral.fr/).;  The lake waters have always been dark green so far as local inhabitants remember.;  Picture took in October, 2014, in dry season at low water level.;  A miniature MkV/L spherical photosynthetically active radiation (PAR) recorder (AlecElectronics) was placed below the surface (0.3 m depth) to record the diurnal underwater light field, and four temperature loggers HOBO Pro V2 (Onset) were positioned every meter in a vertical line.;  The attenuation coefficient Kd was determined from single profiles of discrete PAR measurements taken using a LI-192 underwater quantum sensor connected to a LI-1400 data logger (Li-Cor).;  Dissolved oxygen sensors (optode technology, PONSEL Digisens) were suspended in the upper water column at depths of 15 cm and 50 cm, and dissolved oxygen saturation levels were recorded every 5 min.; The dissolved elements were measured using samples diluted in ultrapure water.; The mean Na+, Cl-, K+, Ca2+, Mg2+, SO42 concentrations and mean alkalinity expressed in mg/L in Dziani Dzaha were compared against data for 34 inland alkaline and/or saline systems as well as standard seawater composition (n = 50, data compiled from [3, 4, 25–29]).;  Hierarchical clustering using water composition values [30, 31] was performed using PAST 2.13 freeware [32] and Ward’s minimal variance method.; The microbial taxa were isolated and cultured to select eubacterial strains, both photosynthetic (cyanobacteria) and heterotrophic, using a single water sample collected in October 2011 at a depth of 0.5 m in the middle of the oxygenated layer.;  Planktonic Archaea were identified using a cloning-sequencing approach, from the same single water sample, without pre-culturing.; For the cultivation of aerobic heterotrophic bacteria, 1mL of a surface water sample (2011 survey) was mixed with 10% glycerol and immediately put in liquid nitrogen.; Prokaryotic genomic DNA from a surface water sample (2011 survey) was extracted from a 20 mL subsample prefiltred at 3.0 μm, and collected onto a 0.2 μm filter using the Power Water DNA isolation kit (MoBio Laboratories) as described by the manufacturer for maximum yield.;  The rationale and classification for fluorescence parameters are reviewed in [46]. A Junior-PAM with a white LED (Walz) was used as described in [47] to record in vivo fluorescence transients. 5 mL dark-adapted water samples were filtered onto 25 mm GF/F for 15’ using a pre-soaked paper filter.;  Anoxic water samples were inoculated anaerobically in a N2-filled hood, and each well was covered by 25 μL of paraffin oil.;  Another microplate was incubated in air with oxic water samples, and both microplates were kept in the dark for six days at room temperature (26–28°C).; The temperature was stable within the water column below a depth of 1 m, whereas the surface waters showed daily fluctuations, reaching up to 35°C in the top few centimeters (Fig 2A).;  On average, at a depth of 1 m the water temperature was 28.5°C in 2010 and 29.1°C in 2011 and 27.8 at a depth of 4 m in 2010 and 27.9°C in 2011 (Fig 2B).;  In 2010, the mean temperature for the lower water column increased from 27.4°C to 27.9°C (rate of 0.07°C d-1), whereas in 2011 it increased from 27.8°C to 28.7°C (rate of 0.08°C d-1) during the survey periods.; The vertical pH profiles showed little variation throughout the water column, ranging from 9.1 to 9.4 depending on the sampling date (Fig 2A).;  There was no significant vertical stratification of the water column for pH or conductivity.;  The elemental ratio compared to seawater is slightly higher for chlorine (40%), more than double for sodium, and more than three times higher for potassium, with an ionic strength 1.5 higher than seawater.;  CO32-) in Dziani Dzaha water.; Hierarchical clustering discriminates Dziani Dzaha waters from most of the other alkaline and/or saline lakes in the comparison (n = 56) and shows that it is closely correlated with standard seawater and the Corangamite Lake (an Australian endorheic salt lake), despite significant differences in alkalinity (Fig 3).;  Cluster I had lakes with high sulfate concentrations and high alkalinity, with moderate sodium and chloride content (S1 Table), and included several Rift Valley lakes and Western Australian water bodies.;  Two clusters grouped lakes with waters close to standard seawater: cluster Va with 4 Australian lakes and one Andean lake with low alkalinity, and cluster Vb with high alkalinity and balanced Na+ and Cl- concentrations, including Dziani Dzaha.; Oxygen concentration was very high at the top of the water column, reaching over 200% of saturation at midday, and decreased sharply to zero at depths below 1.5 to 2 m (Fig 2A).; Color development on Biolog Ecoplates started to develop in less than 24 h after inoculation with Dziani Dzaha water.; Dissolved organic carbon concentrations were relatively homogeneous on the water column, with a mean of 77.5 mg L-1 (n = 11) in 2010 and 66,6 mg L-1 (n = 25) in 2011, and C:N ratio for dissolved organic matter enriched in carbon relative to particulate matter (Table 7).; Dziani Dzaha is a shallow lake, with no vertical stratification during dry season except for dissolved oxygen, and the water buffering characteristics explain the pH stability despite high primary production rates at the surface.;  Hierarchical clustering is mainly driven by the sodium and chloride concentrations, which are the main factors explaining the similarity with standard seawater (Fig 3).;  The origin of the Dziani Dzaha water is most probably from the nearby ocean through bedrock seepage and geological fracturation, with subsequent modifications by precipitation inputs, hydrothermal activity, precipitation of dissolved elements and biogeochemical activity, as shown in many alkaline environments where photosynthetic organisms drive high pH conditions [8]. This marine origin is unlike that of most known soda lakes, which are inland water bodies whose salinity is due to dissolved continental minerals [4].; The high turbidity and low light penetration in Dziani Dzaha is typical of hypereutrophic ponds and lagoons [57] where resident phytoplankton and suspended detritic material absorb most of the incident light in the upper water layer.;  Relative photosynthetic activities were high, falling into the same range as rETR values reported for cyanobacterial cultures [47, 58] and blooms [59]. The uniform transient fluorescence characteristics, over time and all sampling depths, strongly indicates that the cyanobacterial populations were always in good health, so far as photosynthetic activity was concerned, and were uniform and stable even in the lowest part of the water column.;  According to [23], in eutrophic lakes the uncertainties are reduced even when input values such as piston velocity and O2 saturation in the water body are approximated.;  Assuming a mean total particulate carbon of 35 mg C L-1 (Table 5) and a total photosynthetic carbon biomass of 140 g C m-2 for a 4 m deep water column, a daily production of 8.3 g C m-2 d-1 represented only 6% of the total stock.;  The cultivable eubacteria community is thus dominated by taxa usually found in saline and alkaline habitats, as expected for the properties of Dziani Dzaha water.;  Based on ACWD values, anaerobic samples from deep water appeared to be generally the most efficient in metabolizing organic substrates.;  However, the high utilization rate of deep water samples was not the result of the utilization of a broad spectrum of carbon sources but was driven by the extremely high utilization of some compounds (here amino acids and carbohydrates) metabolized in anoxic conditions.;  In alkaline and saline environments Euryarchaeota have been reported to be the most abundant [65] and, unlike lakes with high sulfate content such as the temperate Soap Lake [64], the chemical nature of Dziani Dzaha waters does not seem to be compatible with high densities of sulfate-reducing bacteria that could outcompete methanogens.; The physical and chemical characteristics of Dziani Dzaha are significantly different from other tropical soda and saline lakes, mainly owing to its extremely high alkalinity and the relative similarity of the dissolved element composition to seawater [74]. None of the standard criteria for extreme environments (temperature, salinity, pH) apply directly to this ecosystem but, in combination, the lake comes within the upper limits for inland aquatic ecosystems.;  The primary production rates in Dziani Dzaha, calculated from the in situ dissolved oxygen evolution, are close to the upper limit predicted for inland waters [16] and appear to be limited by light availability and self-shading of biomass.;  Metagenomic approaches are now required to estimate the microbial diversity, together with functional studies to evaluate the community turnover rate in Dziani Dzaha and identify the metabolic functions supported in the water column and superficial sediment.;  This will provide information about the nature (local vs. ubiquitous) of microbial components, and enable a comparison with other inland water bodies.;  Most of all, the definition of a core microbiome will also help to determine and understand the biogeochemical mechanisms related to the more global cycle that defined the original nature of Dziani Dzaha Lake waters.;  These are the main objectives of a four year multi seasonal survey started in 2014 [74] to study microbial diversity, matter and energy flow in water column, surface gas exchanges, and sedimentary deposit in Dziani Dzaha."
"oxygen","D010100",28045976,5207672," In situ daily photosynthetic oxygen production ranged from 17.3 to 22.2 g O2 m-2 d-1, consistent with experimental production / irradiance measurements and modeling.;  Finally, the associated metabolism (photosynthetic oxygen production) and community metabolic potential (use of combined carbon sources) were evaluated.;  Dissolved oxygen sensors (optode technology, PONSEL Digisens) were suspended in the upper water column at depths of 15 cm and 50 cm, and dissolved oxygen saturation levels were recorded every 5 min.;  This method is considered to give a robust estimate of oxygen metabolism, as it takes account of physical diffusion.;  The dissolved oxygen was supersaturated in the upper layer of the lake most of the time and, therefore, some was lost to the atmosphere.; The microbial taxa were isolated and cultured to select eubacterial strains, both photosynthetic (cyanobacteria) and heterotrophic, using a single water sample collected in October 2011 at a depth of 0.5 m in the middle of the oxygenated layer.; Photosynthetic oxygen evolution (PSOE) was monitored as a proxy for photosynthetic activity. 30 mL samples were distributed in gas-tight polycarbonate flasks.;  The dissolved oxygen concentration was measured every twenty minutes over the 4–6 h incubation period, the linearity of the oxygen concentration changes over time was checked, and the photosynthetic oxygen evolution (PSOE) rates were plotted against irradiance using the model of Platt et al. [48]:
; The PSOE parameters (α, β and Pmax) obtained from the incubation experiments were used to model the instantaneous gross oxygen production rates at given times depending on the instantaneous light field and the actual chlorophyll a biomass.;  The rationale is described in [49], and the cumulative instantaneous oxygen production rates were used estimate the daily gross O2 production per square meter of lake (GPP):
; Assuming a constant respiration rate, calculated from samples incubated in the dark, the net oxygen production was obtained by subtracting the daily respiration from the daily gross production.; (A) Temperature (°C, black diamonds), salinity (psu, blue squares) and dissolved oxygen concentration (mg L-1, red circles) are given for CLB station of Dziani Dzaha Lake in 2010 (closed symbols) and 2011 (open symbols). (B) Box-plot of temperature record at four selected depths during the two surveys (n = 2400). (C) Box-plot of all conductivity records during the two surveys (n = 370 for 2010; n = 252 for 2011).;  The subsurface diurnal cycles recorded during the 2011 survey showed a clear day/night pattern, but without total nocturnal depletion of the dissolved oxygen.;  At 31°C and 52 psu, the oxygen saturation corresponded to a concentration of 5.6 mg O2 L-1 in the top 50 cm layer, and the dissolved oxygen never dropped far below this value even at night time.; The oxygen variation in the lake, measured at depths of 15 cm and 50 cm in 2011, showed a clear pattern of net production during the daytime and net consumption at night (S1 Fig).;  Salinity remained almost constant (51.3–52.7 psu) during the two days of dissolved oxygen measurement.; Staehr et al. [23] method was used to fit optode in situ measurements, whereas Bright and Walsby [49] method was used to model production integral according to laboratory photosynthetic oxygen evolution (PSOE) measurements.;  The mean values for maximum oxygen production rates (Pmax) ranged from 5.61 to 11.76 mg O2 mg chl a-1 h-1 (equal to 175–368 μmol O2 mg chl a-1 h-1) during the 2011 survey and the PSOE half-saturation flux density was 99 μmol photons m-2 s-1.;  Both Pmax and α values, calculated from the oxygen production measurements, are within the standard range reported for cyanobacterial blooms.; § productivity is expressed as μmol electrons m-2 s-1 for PAM fluorometry, and as μmol O2 mg chl a-1 h-1 for photosynthetic oxygen evolution.; Using α, β and Pmax derived from PSOE curves, the daily oxygen production was calculated using the method described in [49]. Using the input values listed in Table 4 for PSOE, a constant [chl a] of 612 μg L-1 over the whole well-lit layer (mean of 2011 values excluding outliers), the averaged light measurements at a depth of 0.3 m (mean of 10 days, n = 720 for daytime periods) and a PAR attenuation coefficient Kd = 6.79 m-1, the instantaneous O2 gross production was calculated for 10 min intervals at a 10 cm resolution, giving a GPP of 19.4 g O2 m-2 d-1 (Table 3).; Dziani Dzaha is a shallow lake, with no vertical stratification during dry season except for dissolved oxygen, and the water buffering characteristics explain the pH stability despite high primary production rates at the surface.;  For carbon production, assuming a photosynthetic quotient PQ (molar ratio of O2 evolved to CO2 fixed) equal to 1 [9], the two days of dissolved oxygen measurements were consistent with a daily carbon fixation of 8.3 g C m-2 d-1.;  However, oxygen production in Dziani Dzaha was less than the early estimates of [14] for the upper limits of photosynthetic productivity (43–57 g C m-2 d-1) in soda lakes.;  It has already been shown that, as oxygen is depleted, microbial communities use carbohydrates in preference to carboxylic acids and amino acids [67]. Several other compounds such as glycogen and pyruvic acid were products or end-products of the anaerobic metabolism of glucose, here preferentially metabolized in samples AN10 and AN11.;  The primary production rates in Dziani Dzaha, calculated from the in situ dissolved oxygen evolution, are close to the upper limit predicted for inland waters [16] and appear to be limited by light availability and self-shading of biomass.; Central panel: oxygen concentration evolution at 0.15 m (grey circles) and 0.5 m (black circles) depth in Dziani Dzaha Lake.;  Upper panel: example of linearization of production periods, used to calculate photosynthetic oxygen production rates.;  Lower panel: example of linearization of consumption periods, used to calculate oxygen respiration rates."
"salt","D012492",22887673,3415526,"Alkalibacillus haloalkaliphilus C-5 is a haloalkaliphilic bacterium that was isolated from a soil sample from the salty Sambhar Lake, Rajasthan, India.;  The organism is capable of alkaline protease production under conditions of pH 10 and 10% (wt/vol) salt."
"glutamate","D018698",33030592,7561548," The profile of transporters and central metabolism gives insight into why the organism prefers glutamate over sucrose as carbon source.;  We propose that the deamination of glutamate allows alkalization of the immediate environment, an excellent example of how an extremophile modulates environmental conditions to suit its own requirements.;  For DNA extraction and pH-shift studies 10 g L−1l-glutamate was used as the major carbon source and cells were grown aerobically in a round bottom shake flask overnight.;  When l-glutamate was excluded from this medium, it was replaced with sucrose to a final concentration of 10 g L−1.;  C. thermarum TA2.A1 is no exception, while being reported to grow on a wide variety of carbon sources while remaining strictly aerobic (Fig. 4), and has a particular proclivity for growth on glutamate (McMillan et al. 2009).; Interestingly, glutamate and sucrose, the substrates on which the microorganism grows best, can be imported through secondary symporter transport systems (Fig. 4), utilizing a sodium-motive force (SMF), in agreement with what has been described experimentally for both glutamate (Peddie et al. 1999) and sucrose (Peddie et al. 2000).; Caldalkalibacillus thermarum TA2.A1 is an aerobic, chemoheteroorganotrophic organism, preferably growing on glutamate or sucrose, which are mainly converted to CO2 and acetate (McMillan et al. 2009).;  C. thermarum TA2.A1 lacks the genes for those pathways and instead we hypothesize it feeds glutamate directly into the TCA cycle via a one-step catalyzed by glutamate dehydrogenase (Fig. 5), an enzyme that confusingly enough has glutamate deaminase activity (Crozier et al. 1987).;  The model consists of an Embden–Meyenhoff–Parnas type glycolysis (see Figure S1 for details), and a tricarboxylic acid (TCA) cycle, including a one-step shunt to connect glutamate to the TCA cycle.;  Furthermore, the glutamate uptake system is shown, and a pathway to alkalize local environment using NH4+. The parallel lines indicate membrane-bound proteins; MQ/MQH2 is the membrane-bound electron carrier menaquinone used in the electron transfer chain (see Fig. 4);  However, nothing in the central metabolism suggests why C. thermarum TA2.A1 growth using glutamate as a carbon source has a consistently shorter lag phase and grows ~ 30% faster than when using sucrose (Fig. 6a-b), especially since both carbon sources are imported using ΔNa+-driven symport (Fig. 4).;  It is noted that this is not due to a change in cell size, since the dry weight also has a ~ 30% higher mass when C. thermarum TA2.A1 is grown on glutamate after 16 h (Fig.; C. thermarum TA2.A1 growth on glutamate vs. sucrose and influence of starting pH.; source on the growth of C. thermarum TA2.A1 in flask batch-culture using alkaline basal medium supplemented with either 10 g L−1l-glutamate or sucrose.;  In A and B the initial starting pH was 9.5 where as in C it was 7.5. a Growth over the first 10 h of culturing; b Full growth curves; c Growth on glutamate with initial pH at 7.5 showing a pH shift before onset of growth.;  Firstly, the discrepancy between the onsets of growth could be due to the bacterial variety of the ‘resource allocation theory (Erickson et al. 2017)—fewer enzymes have to be expressed for glutamate consumption (Fig. 5), compared to sucrose (Fig.;  Secondly, the glutamate deamination into α-ketoglutarate by glutamate dehydrogenase releases ammonium, which has a pKa of 9.25.;  Interestingly, we observe a longer lag-phase when grown on glutamate at pH 7.5 (Fig. 6c) that does not occur when grown on sucrose (McMillan et al. 2009).;  In short, deamination of glutamate is an excellent example of an extremophile modulating environmental conditions to suit its own requirements and to outcompete possible competitors.;  In the context of C. thermarum TA2.A1 the use of ferredoxin may be involved in glutamate synthesis from glutamine and α-ketoglutarate (van den Heuvel et al. 2003), giving another possible reason why the microorganism grows so well on this substrate (i.e. it does not have to synthesize glutamate because it is bioavailable).;  A second toxin-antitoxin ndoAI/ndoA system (Wu et al. 2011) was revealed by this new genome and found upstream of an operon encoding for tRNA’s for asparagine, serine, glutamate, aspartate, glutamine and leucine."
"sucrose","D013395",33030592,7561548," The profile of transporters and central metabolism gives insight into why the organism prefers glutamate over sucrose as carbon source.;  When l-glutamate was excluded from this medium, it was replaced with sucrose to a final concentration of 10 g L−1.; Interestingly, glutamate and sucrose, the substrates on which the microorganism grows best, can be imported through secondary symporter transport systems (Fig. 4), utilizing a sodium-motive force (SMF), in agreement with what has been described experimentally for both glutamate (Peddie et al. 1999) and sucrose (Peddie et al. 2000).; Caldalkalibacillus thermarum TA2.A1 is an aerobic, chemoheteroorganotrophic organism, preferably growing on glutamate or sucrose, which are mainly converted to CO2 and acetate (McMillan et al. 2009).;  For classical glycolytic sucrose consumption, the compound is imported via a phosphotransferase system, but in C. thermarum TA2.A1 symport is the dominant mechanism (Peddie et al. 2000) (see Fig. 4), and performs the split into fructose and glucose thereafter (Fig.;  However, nothing in the central metabolism suggests why C. thermarum TA2.A1 growth using glutamate as a carbon source has a consistently shorter lag phase and grows ~ 30% faster than when using sucrose (Fig. 6a-b), especially since both carbon sources are imported using ΔNa+-driven symport (Fig. 4).;  In addition, sucrose should theoretically yield more energy/mol since 2 rounds of glycolysis and 4 rounds of the TCA is possible (Fig. 5 and Fig.; C. thermarum TA2.A1 growth on glutamate vs. sucrose and influence of starting pH.; source on the growth of C. thermarum TA2.A1 in flask batch-culture using alkaline basal medium supplemented with either 10 g L−1l-glutamate or sucrose.;  Firstly, the discrepancy between the onsets of growth could be due to the bacterial variety of the ‘resource allocation theory (Erickson et al. 2017)—fewer enzymes have to be expressed for glutamate consumption (Fig. 5), compared to sucrose (Fig.;  Interestingly, we observe a longer lag-phase when grown on glutamate at pH 7.5 (Fig. 6c) that does not occur when grown on sucrose (McMillan et al. 2009).; An important feature of C. thermarum TA2.A1 is that while it is indeed an obligate alkaliphile when grown on C4-dicarboxylates, it is a facultative alkaliphile when grown on fermentable substrates such as sucrose."
"carbon","D002244",33030592,7561548," The profile of transporters and central metabolism gives insight into why the organism prefers glutamate over sucrose as carbon source.;  Support for this theory appears to be ‘branched’, and is built on the plant-specific processes of carbon fixation (Braakman and Smith 2012), which we will not discuss at length here, and cellular energy generation.;  For DNA extraction and pH-shift studies 10 g L−1l-glutamate was used as the major carbon source and cells were grown aerobically in a round bottom shake flask overnight.;  C. thermarum TA2.A1 is no exception, while being reported to grow on a wide variety of carbon sources while remaining strictly aerobic (Fig. 4), and has a particular proclivity for growth on glutamate (McMillan et al. 2009).;  Intriguingly, C. thermarum TA2.A1 also has ccmL and ccmM (Fig. 4), genes used for inorganic carbon concentration and capture (Ludwig et al. 2000).;  Capturing inorganic carbon should be wholly useless for a heterotrophic, aerobic organism such as C. thermarum TA2.A1, these systems are usually found in photosynthetic organisms.;  Considering this, its presence could originate from a more ancient environment, one in which the ability to scavenge any carbon, organic or inorganic, was a prime competitive advantage.;  However, nothing in the central metabolism suggests why C. thermarum TA2.A1 growth using glutamate as a carbon source has a consistently shorter lag phase and grows ~ 30% faster than when using sucrose (Fig. 6a-b), especially since both carbon sources are imported using ΔNa+-driven symport (Fig. 4).;  Effect of carbon;  These similarities include a cytochrome b6c1 complex that is a possible homolog of the plant cytochrome b6f, the similarity in F1FO-ATP synthase c-subunit rotor ring size, and the means to capture inorganic carbon."
"CO2","D002245",33030592,7561548," Curiously, plant-like hallmark electron transfer enzymes and transporters are found throughout the genome, such as a cytochrome b6c1 complex and a CO2-concentrating transporter.; Caldalkalibacillus thermarum TA2.A1 is an aerobic, chemoheteroorganotrophic organism, preferably growing on glutamate or sucrose, which are mainly converted to CO2 and acetate (McMillan et al. 2009)."
"Silver","D012834",27891113,5102886,""
"silver","D012834",27891113,5102886,"This study evaluates the potential application of silver nanoparticles (AgNPs) as antimicrobial or nematicidal agents produced by the extremophile Bacillus pumilus, which was isolated from the alkaline Wadi El-Natrun Lake in Egypt.; Nanosilver, a therapeutically potent molecule, has captivated scientists from various disciplines (Galdiero et al., 2011).;  Biosynthesis of silver nanoparticles has been reported from bacteria, fungi, yeast, plants, and fruits (Jha et al., 2009).; The bacterial isolates were cultured in alkaline nutrient broth medium to produce biomass for silver biosynthesis.; AgNO3 (1 mM) was added to the culture supernatant and allowed to react for 24 h; a control without silver ions was also run.; Samples were prepared by removing the silver nanoparticles from the extract by centrifugation (5000 rpm for 15 min) and washing (twice) in sterile distilled water.; The well-diffusion technique was used to test the antimicrobial capabilities of the synthesized silver nanoparticles against multiple pathogenic strains, including: Methicillin-resistant Staphylococcus aureus [ATCC 43330 (MRSA)], Staphylococcus epidermidis [ATCC 12228 (S. epidermidis)], Streptococcus bovis [ATCC 49147 (S. bovis)], Escherichia coli [ATCC 25922 (E. coli)], Pseudomonas aeruginosa (clinical isolate), Shigella sonnei [ATCC 25931 (Sh. sonnei)], Klebsiella pneumoniae [ATCC 700603 (K. pneumoniae)], and Salmonella Typhimurium [ATCC 14028, (S.;  In this study, about 20 bacterial isolates were screened for their ability to synthesize regularly-shaped silver nanoparticles.; Color changes in the supernatant of free bacterial cells (Bacillus pumilus) after addition of silver nitrate for nanoparticle (AgNP) synthesis.; Following the addition of silver nitrate (1 mM) to the filtrate of bacterial cultures, only the D18 isolate was able to change the color from yellowish to dark-brown, at 60°C within 2 h (Figure ​(Figure1).1).;  This type of scanning has been useful in gauging SPR absorption of silver nanoparticles (Shahverdi et al., 2007; Ansari et al., 2011; Singh et al., 2011; Ponarulselvam et al., 2012).;  The UV-visible spectral bands observed at 430 nm are characteristic of silver nanoparticles (Figure ​(Figure2;2; Petit et al., 1993; Ahmad et al., 2003; Singaravelu et al., 2007).; UV–visible spectrum of silver nanoparticles (1 mM aqueous solution of AgNO3) synthesized by Bacillus pumilus.;  The inset of the figure shows a test tube of the silver nanoparticle solution formed at the end of the reaction.;  The appearance of a band at about 1743 cm−1, which is assigned to extension of C = O vibrations in carboxylic acids, aldehydes, and ketones, was notable and suggests the oxidation of the hydroxyl groups in bacterial hydrolysates coupled to the reduction of silver ions (Saha et al., 2010).; Fourier-transform infrared (FT-IR) spectrum of silver nanoparticles synthesized by B. pumilus.; The morphology of the silver nanoparticles was analyzed using TEM (Figure ​(Figure5A).5A).;  The TEM images show mediated silver nano powder has triangular, hexagonal, spherical, pseudospherical, and some undefined morphology, with traces of agglomeration due to the binding of the biological molecules to the nanoparticles present in the bacteria (Malarkodi and Annadurai, 2013).; TEM micrograph at 30,000 × magnification (A) and energy-dispersive spectroscopy spectrum (B) of silver nanoparticles synthesized by B. pumilus.; We successfully used bacterial culture to synthesize small, relatively uniform, extracellular silver nanoparticles.;  Energy-dispersive spectroscopy was used to confirm the presence of elemental silver (Figure ​(Figure5B),5B), and silver nanocrystals were verified by an optical absorption band peak at 3 KeV, which is the same absorption as metallic silver nanocrystals based on SPR (Magudapathy et al., 2001).;  Analysis of elemental composition via EDX showed the presence of silver atoms produced by B. pumilus; these results agree with the TEM results (Figures 5A,B).;  Shrivastava et al. (2007) suggested that Gram-positive bacteria are more sensitive to silver nanoparticles than Gram-negative bacteria because of the interactions of positively charged silver nanoparticles with negatively charged lipopolysaccharides.; Antimicrobial activity of silver nanoparticles (AgNPs) synthesized by B. pumilus against different pathogenic bacterial strains.; The mean of MIC and MBC values for silver nanoparticles (AgNPs) tested using human pathogens in M-H broth.; The effect of different concentrations of silver nanoparticles (AgNPs, synthesized by B. pumilus) on P. redivivus after 24, 36, and 48 h of nematode growth.; The effect of different concentrations of silver nanoparticles (AgNPs) synthesized by B. pumilus on P. redivivus survival (%) after 24, 36, and 48 h incubation in nematode growth medium."
